TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Today I will delete my Facebook account.				STATE	Facebook acount, deleted (ReceivesAction)															
e2: Not only because I'm constantly astonished about who wants to be my friend.				STATE/GENERIC	friend, astonishing (HasProperty)															
e3: I'm also tired of my data boosting the market value of that corporation.				STATE/GENERALIZING	data, boosting the market value of the corporation (UsedFor)/data, boosting the market value of the corporation (CapableOf)/data, market value of the corporation (PartOf)/data, market value of the corporation (Causes)/corporation, market value (HasA)/data, market value (UsedFor)															
e4: Facebook warns me emphatically that I may lose contact with my friends.				GENERALIZING/STATE	Facebook, warn emphatically (CapableOf)/I, lose contact with friends (CapableOf)/Facebook, warn of losing contact with my friends (CapableOf)															
e5: And yet now I'll actually have all the more time for them.				STATE	I, more time for friends (HasA)/I, friends (HasA)/I, have more time for friends (CapableOf)															
e2-e1	adjacent	sup	1			On Facebook, you're friends with people you don't have anything to do with in real life.	GENERIC/GENERIC	being friends with people you don't have anything to do with, Facebook (AtLocation)/you, be friends with people you don't have anything to do with in real life (CapableOf)/you, friends with people you don't have anything to do with in real life (IsA)/you, friends on Facebook (HasA)/you, friends you don't have anything to do with in real life (HasA)/be friends on Facebook, have anything to do with each other in real life (NotHasPrerequisite)												
e3-e1	not adjacent	sup	2			With a Facebook account you make your data available.	GENERIC	Facebook account, make your data available (Causes)/data, available (HasProperty)/get a Facebook account, make your data available (HasPrerequisite)/data, made available through Facebook (ReceivesAction)/Facebook account, make your data available (UsedFor)	More data leads to a higher market value.	GENERIC	more data, higher market value (Causes)									
e4-e1	not adjacent	reb	2			The Facebook account is designed to help you stay in touch with friends.	GENERIC/GENERIC	Facebook account, designed to help stay in touch with friends (HasProperty)/friends, Facebook (AtLocation)/Facebook account, stay in touch with friends (UsedFor)/Facebook account, stay in touch with friends (Causes)/Facebook account, help you stay in touch with friends (CapableOf)/have a Facebook account, stay in touch with friends (MotivatedByGoal)/stay in touch with friends, Facebook account (HasPrerequisite)	If you delete your account, you may lose contact with friends.	GENERIC/GENERIC	friends, contact (HasA)/account, deleted (ReceivesAction)/delete your account, lose contact with friends (Causes)									
e5-e4	adjacent	reb	2			Facebook allows you to spend a lot of time on the Internet.	GENERALIZING	Facebook, allow to spend a lot of time on internet (CapableOf)/a lot of time, spent on Internet (ReceivesAction)/Facebook, internet (PartOf)/Facebook, internet (AtLocation)/Facebook, spend a lot of time on the Internet (UsedFor)/Facebook, spending a lot of time on the internet (Causes)	In that time you can't do anything with your friends in real life.	GENERIC	you, friends in real life (HasA)/you, not do something with friends in real life (CapableOf)/spent with your friends in real life, time on the Internet (ObstructedBy)/time, friends (UsedFor)/friends, real life (AtLocation)									
e2-e3	adjacent	NONE	4			Facebook is a corporation.	STATE	Facebook, corporation (IsA)	People can be your friend on Facebook.	GENERIC	people, be your friend on Facebook (CapableOf)/people, friend on Facebook (IsA)	With a Facebook account you make your data available.	GENERIC	Facebook account, make your data available (Causes)/data, available (HasProperty)/get a Facebook account, make your data available (HasPrerequisite)/data, made available through Facebook (ReceivesAction)/Facebook account, make your data available (UsedFor)	More data leads to a higher market value.	GENERIC	more data, higher market value (Causes)			
e3-e4	adjacent	NONE	5			Facebook is a corporation.	STATE	Facebook, corporation (IsA)	You can stay in contact with your friends through Facebook.	GENERIC	you, stay in contact with your friends through Facebook (CapableOf)/you, friends on Facebook (HasA)/Facebook, stay in contact with your friends (UsedFor)/Facebook, stay in contact with your friends (Causes)/use Facebook, stay in contact with your friends (MotivatedByGoal)	If you delete your Facebook account, you may lose contact with friends.	GENERIC/GENERIC	delete Facebook account, lose contact with friends (Causes)	With a Facebook account you make your data available.	GENERIC	Facebook account, make your data available (Causes)/data, available (HasProperty)/get a Facebook account, make your data available (HasPrerequisite)/data, made available through Facebook (ReceivesAction)/Facebook account, make your data available (UsedFor)	More data leads to a higher market value.	GENERIC	more data, higher market value (Causes)
