TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: I can only recommend the new smartphone XYZ-123 to everyone.				STATE	XYZ-123, smartphone (IsA)/smartphone, new (HasProperty)/I, recommend smartphone (CapableOf)/smartphone, recommended (ReceivesAction)															
e2: Of course the camera could be better,				STATE	camera, could be better (HasProperty)/camera, good (NotHasProperty)															
e3: as it only has mediocre resolution				STATE	smartphone, mediocre resolution (HasA)/camera, mediocre resolution (HasA)/resolution, mediocre (HasProperty)															
e4: and images in dark surroundings are often snowy.				GENERALIZING	images in dark surroundings, snowy (HasProperty)/dark surroundings, snowy images (Causes)															
e5: But for snap shots that's still enough.				STATE	mediocre resolution, enough for snap shots (HasProperty)/camera quality, snap shots (UsedFor)/camera, snap shots (UsedFor)/camera quality, enough for snap shots (HasProperty)															
e2-e1	adjacent	reb	2			Smartphones are used for photography.	GENERIC	smartphones, photography (UsedFor)/photography, smartphone (CreatedBy)	A good camera takes good photographies.	GENERIC	good camera, good photographies (UsedFor)/good camera, good photographs (UsedFor)/good camera, good photographies (Causes)/good camera, good photographs (Causes)/good camera, taking good photographies (CapableOf)/good camera, taking good photographs (CapableOf)/good photographs, using a good camera (CreatedBy)/good photographies, using a good camera (CreatedBy)									
e3-e2	adjacent	sup	1			The quality of a camera depends on its resolution.	GENERIC	quality of a camera, dependant on resolution (HasProperty)/resolution, quality of a camera (Causes)/camera, resolution (HasA)/resolution, camera quality (Causes)/camera, quality (HasA)/camera, quality (HasProperty)												
e4-e1	not adjacent	add	2			A good camera takes good pictures even in the dark.	GENERIC	good camera, good pictures even in the dark (Causes)/good camera, take good pictures even in the dark (Causes)/take good pictures even in the dark, use good camera (HasPrerequisite)/good camera, taking good pictures (UsedFor)/good camera, taking pictures in the dark (UsedFor)/dark, bad pictures (NotCauses)/good camera, taking good pictures even in the dark (CapableOf)/good pictures even in the dark, using a good camera (CreatedBy)	Snowy pictures are not good.	GENERIC	snowy pictures, good (NotHasProperty)									
e5-e1	not adjacent	und	2			Smartphones have a camera.	GENERIC	smartphones, camera (HasA)	A camera takes snapshots.	GENERIC	camera, take snapshots (CapableOf)/camera, taking snapshots (UsedFor)/camera, snapshots (Causes)/snapshots, camera (CreatedBy)									
e3-e4	adjacent	NONE	1			A mediocre resolution often makes images in dark surroundings snowy.	GENERIC	mediocre resolution, snowy images in dark surroundings (Causes)/dark surroundings, snowy images (Causes)/mediocre resolution, snowy images (Causes)												
e4-e5	adjacent	NONE	1			It does not matter if snap shots are snowy.	GENERIC	snowiness of snapshots, matter (NotHasProperty)/snap shots, snowy (HasProperty)												
