TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: The morning-after pill has a number of side effects.				GENERIC	morning-after pill, side effects (HasA)															
e2: A differentiated analysis of its side effects is not achievable for a layperson without medical advice.				STATE	layperson, differentiated analysis of the side-effects (NotHasA)/layperson, differentiated analysis of the side-effects (NotCapableOf)/differentiated analysis of the side-effects, medical advice (HasPrerequisite)/medical advice, differentiated analysis of the side-effects (Causes)/differentiated analysis of the side effects, medical advice (PartOf)															
e3: However these are clearly stated on the package insert,				STATE	side effects, stated on the package insert (HasProperty)/side effects, package insert (AtLocation)															
e4: and a request for an early termination of a pregnancy is the right of every woman.				GENERIC	termination of pregnancy, right of every woman (IsA)/woman, right to termination of pregnancy (HasA)/woman, termination of pregnancy (CapableOf)															
e5: The morning-after pill should only be prescribed after counselling by a physician or pharmacist.				GENERIC	morning-after pill, prescribed after counselling by a physician (ReceivesAction)/morning-after pill, prescribed after counselling by a pharmacist (ReceivesAction)/physician, counsel (CapableOf)/pharmacist, counsel (CapableOf)/prescription, counselling (HasPrerequisite)															
e1-e5	not adjacent	sup	1			Physicians and pharmacists inform about side effects.	GENERIC	physicians, inform about side effects (CapableOf)/pharmacists, inform about side effects (CapableOf)												
e2-e5	not adjacent	add	1			The morning-after pill is a drug with side effects.	GENERIC	morning-after pill, drug (IsA)/morning-after pill, side effects (HasA)												
e3-e5	not adjacent	und	2			The package insert of a medicinal product contains the side effects.	GENERIC	medical product, package insert (HasA)/package insert of a medicinal product, contain side effects (CapableOf)/side effects, package insert (PartOf)	Physicians and pharmacists usually inform about side effects.	GENERIC	physicians, inform about side effects (CapableOf)/pharmacists, inform about side effects (CapableOf)									
e4-e5	adjacent	reb	1			The morning-after pill is used for early termination of pregnancy.	GENERIC	morning-after pill, early termination of pregnancy (UsedFor)/morning-after pill, early termination of pregnancy (Causes)												
e1-e2	adjacent	NONE	1			Medical advice helps to analyse the side effects of the morning-after pill in a differentiated way.	GENERIC	medical advice, analyse side effects (CapableOf)/medical advice, analyse side effects (UsedFor)/morning-after pill, side effects (HasA)												
e2-e3	adjacent	NONE	2			Laypersons can learn about side effects through reading the package insert.	GENERIC	laypersons, learn about side effects (CapableOf)/reading package insert, learning about side effects (Causes)/laypersons, reading the package insert (CapableOf)/side effects, package insert (PartOf)	Medical advice is replaced by package inserts.	GENERIC	medical advice, replaced by package inserts (ReceivesAction)									
e3-e4	adjacent	NONE	1			The morning-after pill terminates a pregnancy early.	GENERIC	morning-after pill, early termination of pregnancy (UsedFor)/morning-after pill, early termination of pregnancy (Causes)/morning-after pill, terminate a pregnancy early (CapableOf)/pregnancy, morning-after pill (ObstructedBy)												
