TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Germany's aging society is undergoing demographic change,				GENERALIZING	Germany's aging society, undergo demographic change (CapableOf)/society, Germany (AtLocation)/Germany, demographic change (HasA)/Germany's aging society, undergoing demographic change (HasProperty)															
e2: and the age of those who are physically and mentally fit is increasing steadily.				GENERALIZING	those who are physically and mentally fit, age (HasA)/age, increasing steadily (HasProperty)															
e3: Thus social security and pension costs are increasing.				GENERIC	social security costs, increasing (HasProperty)/pension costs, increasing (HasProperty)															
e4: Yet no one should be required to work for more than 40 years.				GENERIC	no one, work for more than 40 years (CapableOf)															
e5: Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.				STATE	relative retirement age, raised (ReceivesAction)/raising of retirement age, fair (HasProperty)/average citizen, physical fitness (HasA)/physical fitness of the average citizen, relative retirement age (Causes)															
e1-e3	not adjacent	sup	1			More pension must be paid for Germany's aging society.	GENERIC	more pension, paid for Germany's aging society (ReceivesAction)/society, Germany (AtLocation)/society, age (CapableOf)/Germany's aging society, more pension (Causes)												
e2-e3	adjacent	sup	4			You receive a pension at a certain age.	GENERIC	certain age, pension (Causes)/receive pension, reach a certain age (HasPrerequisite)	If you are healthy in old age, you will live longer.	GENERIC/GENERIC	healthy in old age, live longer (Causes)	You get a pension as long as you live.	GENERIC/GENERIC	live, get a pension (Causes)	The longer you live, the more pension you cost.	GENERIC/GENERIC	longer life, more pension (Causes)/more pension, higher costs (Causes)			
e3-e5	not adjacent	sup	3			Retired people require social security and pension costs.	GENERIC	retired people, social security costs (Causes)/retired people, pension costs (Causes)	Raising the retirement age causes less retired people.	STATE	raising of retirement age, less retired people (Causes)	Less retired people mean less costs.	GENERIC	less retired people, less costs (Causes)/retired people, costs (Causes)						
e4-e5	adjacent	reb	1			If the retirement age is raised, people will have to work for more than 40 years.	GENERIC/GENERIC	retirement age, raised (ReceivesAction)/people, work for more than 40 years (CapableOf)/raising the retirement age, work for more than 40 years (HasPrerequisite)/raising the retirement age, working for more than 40 years (Causes)												
e1-e2	adjacent	NONE	2			Germans are getting increasingly older.	GENERIC	Germans, get increasingly older (CapableOf)/Germans, getting increasingly older (HasProperty)	Old people used to be less physically and mentally fit.	GENERIC	old people, less physically fit (HasProperty)/old people, less mentally fit (HasProperty)/old people, physically fit (NotHasProperty)/old people, mentally fit (NotHasProperty)									
e3-e4	adjacent	NONE	3			Retired people require social security and pension costs.	GENERIC	retired people, social security costs (Causes)/retired people, pension costs (Causes)	Raising the retirement age causes less retired people.	STATE	raising of retirement age, less retired people (Causes)	Raising the retirement age results in people working for more years.	STATE/GENERIC	raising of retirement age, people working for more years (Causes)/people, working (CapableOf)						
