TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: In a few decades our society will have a disproportionate number of old people:				STATE	society, disproportionate number of old people (HasA)															
e2: the life expectancy is constantly rising,				GENERALIZING	life expectancy, constantly rise (CapableOf)/life expectancy, constantly rising (HasProperty)															
e3: and at the same time birth rates are declining.				GENERIC	birth rates, decline (CapableOf)/birth rates, declining (HasProperty)															
e4: Although having children has become more fashionable again in recent years,				GENERALIZING	having children, more fashionable in recent years (HasProperty)/having children, fashionable (HasProperty)/having children, becoming more fashionable (CapableOf)/having children, becoming more fashionable (ReceivesAction)															
e5: these short-term fluctuations in birth rates don't change the general trend at all.				STATE	birth rates, fluctuate (CapableOf)/general trend, changed (NotReceivesAction)/short-term fluctuations in birth rates, change the general trend (NotCapableOf)/birth rates, short-term fluctuations (HasA)															
e2-e1	adjacent	sup	1			When life expectancy rises, people become older on average.	GENERALIZING/GENERIC	people becoming older, rising of life expectancy (HasPrerequisite)/rising of life expectancy, people becoming older (Causes)/rising of life expectancy, people becoming older (DefinedAs)												
e3-e1	not adjacent	add	2			People live longer.	GENERIC	people, live longer (CapableOf)	When the birth rate drops, society becomes older.	STATE/GENERIC	dropping of birth rate, society becoming older (Causes)/society, becoming older (ReceivesAction)									
e4-e3	adjacent	reb	2			When having children is fashionable, more children are born.	GENERIC/GENERIC	having children, fashionable (HasProperty)/having children being fashionable, more children are born (Causes)	The number of born children is called birth rate.	STATE	number of born children, birth rate (IsA)/number of born children, birth rate (DefinedAs)/birth rate, number of born children (DefinedAs)									
e5-e3	not adjacent	und	1			The general trend shows that the birth rate is falling.	STATE/GENERALIZING	falling birth rate, general trend (PartOf)/general trend, falling birth rate (IsA)/falling birth rate, general trend (HasA)/birth rate, falling (HasProperty)/general trend, show that the birth rate is falling (CapableOf)/birth rate falling, general trend (SymbolOf)												
e2-e3	adjacent	NONE	2			Rising life expectancy change a society's demography.	STATE	society, demography (HasA)/society, life expectancy (HasA)/rising life expectancy, change a society's demography (CapableOf)/rising life expectancy, change in a society's demography (Causes)	Declining birth rates change a society's demography.	GENERIC	society, demography (HasA)/society, birth rates (HasA)/declining birth rate, change a society's demography (CapableOf)/declining birth rate, change in a society's demography (Causes)									
e4-e5	adjacent	NONE	3			When having children is fashionable, more children are born.	GENERIC/GENERIC	having children, fashionable (HasProperty)/having children being fashionable, more children are born (Causes)	When more children are born, the birth rate rises.	GENERIC/GENERALIZING	more children born, rise of birth rate (Causes)/rise of birth rate, more children being born (DefinedAs)	The general trend shows that the birth rate is falling.	STATE/GENERALIZING	falling birth rate, general trend (PartOf)/general trend, falling birth rate (IsA)/falling birth rate, general trend (HasA)/birth rate, falling (HasProperty)/general trend, show that the birth rate is falling (CapableOf)/birth rate falling, general trend (SymbolOf)/birth rate, falling (ReceivesAction)						
