TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Schweinsteiger has now been injured for three days.				STATE	Schweinsteiger, injured (HasProperty)															
e2: We urgently need a midfield replacement for the coming match.				STATE	we, need of midfield replacement (HasA)/midfield replacement, coming match (UsedFor)/coming match, get a midfield replacement (CausesDesire)															
e3: The doctor was able to sign him off as fit for play with enough painkillers,				STATE	doctor, sign someone off as fit for play (CapableOf)/signing someone off as fit for play, taking painkillers (HasPrerequisite)/painkillers, being fit for play (UsedFor)															
e4: but that would only make the injury worse in the long run.				STATE	injury, worse (HasProperty)/play with an injury, make the injury worse (CapableOf)/play with an injury, make the injury worse (Causes)															
e5: And a young substitute always invigorates the team.				GENERIC	young substitute, invigorate team (CapableOf)/substitute, team (PartOf)															
e1-e2	adjacent	sup	2			(A) 1. Schweinsteiger is a midfielder.	STATE	Schweinsteiger, midfielder (IsA)	If a midfielder is injured, you need a replacement.	GENERIC/GENERIC	midfielder, injured (HasProperty)/injured midfielder, need of replacement (Causes)									
e3-e2	adjacent	und	1			If a player is not fit for play, a replacement is required.	GENERIC/STATE	player, not fit for play (HasProperty)/player not fit for play, replacement (ReceivesAction)/player not fit for play, replacement (Causes)												
e4-e2	not adjacent	und	1			In case of an injury you need a replacement for a player.	GENERIC	player, replaced (ReceivesAction)/injury, replacement for a player (Causes)												
e5-e2	not adjacent	sup	0																	
e3-e4	adjacent	NONE	2			Injuries can be treated with painkillers.	GENERIC	injuries, treated with painkillers (ReceivesAction)/painkillers, treat injuries (CapableOf)/painkillers, treating injuries (UsedFor)	Doctors treat injuries.	GENERIC	doctors, treat injuries (CapableOf)									
e4-e5	adjacent	NONE	1			An injured player must be substituted.	GENERIC	injured player, substituted (ReceivesAction)/player, injured (HasProperty)												
