TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Germany should by no means introduce capital punishment.				STATE	capital punishment, introduced (ReceivesAction)/capital punishment, Germany (NotAtLocation)/Germany, introduce capital punishment (CapableOf)															
e2: If there were capital punishment, this would mean people are allowed to put themselves above others and rule over their lives.				STATE/STATE/GENERIC/GENERIC	capital punishment, ruling of people over others' lives (IsA)/capital punishment, people putting themselves above others (Causes)/capital punishment, ruling over others' lifes (Causes)/capital punishment, ruling over others' lifes (DefinedAs)/people, put themselves over others (NotCapableOf)/people, rule over others' lifes (NotCapableOf)															
e3: Capital punishment would be murder and would have to be punished with the death penalty itself.				STATE/STATE	capital punishment, murder (IsA)/capital punishment, punished with death penalty itself (ReceivesAction)/capital punishment, death penalty (IsA)															
e4: What, then, ought to be done with criminals who have committed truly awful crimes such as murder or rape - should they simply be allowed to live on				QUESTION/QUESTION	criminals, commit crimes (CapableOf)/criminals, allowed to live on (HasProperty)/criminals, allowed to live on (ReceivesAction)/murder, crime (IsA)/rape, crime (IsA)															
e5: although they have taken or destroyed another life?				QUESTION	criminals, take another life (CapableOf)/criminals, destroy another life (CapableOf)															
e6: Yes, for it is a much graver punishment to be imprisoned forever and be tortured by one's own thoughts than to be killed quickly and easily by an injection.				GENERIC	imprisonment, punishment (IsA)/torture by one's own thoughts, punishment (IsA)/killing by injection, punishment (IsA)/imprisonment and torture by one's own thoughts, much graver punishment than quick and easy killing by injection (IsA)															
e2-e1	adjacent	sup	0																	
e3-e1	not adjacent	sup	1			Germany should not commit murders.	STATE	Germany, commit murders (NotCapableOf)												
e4-e1	not adjacent	sup	1			Capital punishment should be imposed for the commission of truly awful crimes.	GENERIC	capital punishment, imposed (ReceivesAction)/commission of truly awful crimes, capital punishment (Causes)												
e5-e4	adjacent	reb	1			Taking or destroying another life is a truly awful crime.	GENERIC	taking another life, truly awful crime (IsA)/destroying another life, truly awful crime (IsA)												
e6-e4	not adjacent	und	2			Truly awful crimes should be punished with the gravest punishment.	GENERIC	truly awful crimes, punished with gravest punishment (ReceivesAction)/truly awful crimes, gravest punishment (Causes)/gravest punishment, punish truly awful crimes (UsedFor)	Being imprisoned forever and be tortured by one's own thoughts is the gravest punishment.	GENERIC	being imprisoned forever, gravest punishment (IsA)/gravest punishment, being imprisoned forever (DefinedAs)/being tortured by one's own thoughts, gravest punishment (IsA)/gravest punishment, being tortured by one's own thoughts (DefinedAs)									
e2-e3	adjacent	NONE	2			Capital punishment is death penalty.	STATE	capital punishment, death penalty (IsA)/capital punishment, death penalty (DefinedAs)	When people are allowed to put themselves above others and rule over their lives, this may result in murder.	GENERIC/GENERIC	people, allowed to put themselves above others (HasProperty)/people allowed to rule over their lives, murder (HasProperty)/people, put themselves above (CapableOf)/people, rule over others' lives (CapableOf)/people putting themselves over others, murder (Causes)/ruling over others' lives, murder (Causes)									
e3-e4	adjacent	NONE	3			Truly awful crimes such as murder or rape can be punished with the death penalty.	GENERIC	murder, truly awful crime (IsA)/rape, truly awful crime (IsA)/truly awful crimes, punished with the death penalty (ReceivesAction)/truly awful crimes, death penalty (Causes)/death penalty, truly awful crimes (UsedFor)	When someone receives capital punishment, they cannot simply live on.	GENERIC/GENERIC	someone, receive capital punishment (CapableOf)/someone receiving capital punishment, not live on (CapableOf)/living on, capital punishment (ObstructedBy)/capital punishment, not living on (Causes)	Capital punishment is received by criminals.	GENERIC	criminals, receive capital punishment (CapableOf)/capital punishment, received by criminals (ReceivesAction)/capital punishment, criminals (UsedFor)						
e5-e6	adjacent	NONE	1			Someone who has taken or destroyed another life get a grave punishment.	GENERIC	grave punishment, punishing someone who has taken another life (UsedFor)/grave punishment, punishing someone who has destroyed another life (UsedFor)/taking another life, grave punishment (Causes)/destroying another life, grave punishment (Causes)												
