TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: The current tour of Tokio Hotel is breaking all records.				EVENT	Tokio Hotel, tour (CapableOf)/tour of Tokio Hotel, breaking all records (CapableOf)/tour of Tokio Hotel, breaking all records (HasProperty)															
e2: Never have there been longer queues at the advance ticket offices				GENERIC	long queues, advance ticket offices (AtLocation)/advance ticket offices, long queues (HasA)															
e3: In Japan there was one exceeding 3.2km.				STATE	queue, exceeding 3.2km (CapableOf)/queue, Japan (AtLocation)/queue, exceeding 3.2km (HasProperty)															
e4: aside from, perhaps, during the heyday of Take That.				N.A.	Take That, heyday (HasA)/Take That, long queues (Causes)															
e5: But at times even the online sales outlets haven't been coping with the demand.				GENERALIZING	online sales outlets, coping with the demand (NotCapableOf)															
e2-e1	adjacent	sup	2			For a tour you need tickets.	GENERIC	visit a tour, have tickets (HasPrerequisite)/tickets, visiting a tour (UsedFor)	Tickets can be bought at advance ticket offices.	GENERIC	tickets, bought at advance ticket offices (ReceivesAction)/tickets, advance ticket offices (AtLocation)/advance ticket offices, tickets (HasA)									
e3-e2	adjacent	exa	0																	
e4-e2	not adjacent	reb	2			Take That was a successful band.	STATE	Take That, successful band (IsA)	There are long queues for tickets from successful bands.	GENERIC	successful bands, tickets (HasA)/see a successful band, have tickets (HasPrerequisite)/tickets from successful bands, long queues (HasA)/tickets from successful bands, long queues (Causes)									
e5-e1	not adjacent	sup	3			For a tour you need tickets.	GENERIC	visit a tour, have tickets (HasPrerequisite)/tickets, visiting a tour (UsedFor)	At the online sales you get tickets.	GENERIC	you, get tickets at online sales (CapableOf)/online sales, sell tickets (CapableOf)/online sales, get tickets (UsedFor)/online sales, tickets (Causes)/tickets, online sales (AtLocation)	Something that breaks a record triggers a demand.	GENERIC/GENERIC	break a record, trigger a demand (Causes)/something that breaks a record, trigger a demand (CapableOf)						
e3-e4	adjacent	NONE	3			A queue exceeding 3.2km is very long.	STATE	queue, exceeding 3.2km (CapableOf)/queue, exceeding 3.2km (HasProperty)/queue exceeding 3.2km, very long (HasProperty)	There are long queues for tickets from successful bands.	GENERIC	successful bands, tickets (HasA)/see a successful band, have tickets (HasPrerequisite)/tickets from successful bands, long queues (HasA)/tickets from successful bands, long queues (Causes)	Take That was a successful band.	STATE	Take That, successful band (IsA)						
e4-e5	adjacent	NONE	3			Online sales outlets sell tickets.	GENERIC	online sales outlets, sell tickets (CapableOf)/online sales outlets, tickets (Causes)/tickets, online sales outlets (AtLocation)	Take That was a successful band.	STATE	Take That, successful band (IsA)	There is a high demand for tickets from successful bands.	STATE	successful bands, tickets (HasA)/see a successful band, have tickets (HasPrerequisite)/tickets from successful bands, high demand (HasA)/tickets from successful bands, high demand (Causes)/tickets from successful bands, have a high demand (CapableOf)						
