TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Intelligence services must urgently be regulated more tightly by parliament;				GENERIC	intelligence services, regulated (ReceivesAction)/parliament, regulate (CapableOf)															
e2: this should be clear to everyone after the disclosures of Edward Snowden.				STATE	Edward Snowden, disclosures (Causes)/Edward Snowden, disclose (CapableOf)/disclosures, be clear to everyone (Causes)															
e3: Granted, those concern primarily the British and American intelligence services,				GENERALIZING	British intelligence services, be concerned (HasProperty)/American intelligence services, be concerned (HasProperty)															
e4: but the German services evidently do collaborate with them closely.				GENERALIZING	German services, collaborate (CapableOf)															
e5: Their tools, data and expertise have been used to keep us under surveillance for a long time.				GENERALIZING	tools, surveillance (UsedFor)/data, surveillance (UsedFor)/expertise, surveillance (UsedFor)															
e2-e1	adjacent	sup	2			Edward Snowden disclosed information about illegal activities of the intelligent services.	EVENT	Edward Snowden, disclose information (CapableOf)/intelligence services, illegal activities (CapableOf)/Edward Snowden, disclosures (Causes)/illegal activities, disclosed (ReceivesAction)	Tighter regulation leads to the prevention of illegal activities.	GENERIC	tighter regulation, prevention of illegal activities (Causes)									
e3-e1	not adjacent	und	3			Edward Snowden disclosed information about illegal activities of the intelligent services.	EVENT	Edward Snowden, disclose information (CapableOf)/intelligence services, illegal activities (CapableOf)/Edward Snowden, disclosures (Causes)/illegal activities, disclosed (ReceivesAction)	This information concerns the British and American intelligent services.	STATE	British intelligence services, concerned by information (ReceivesAction)/American intelligence services, concerned by information (ReceivesAction)	Tighter regulation leads to the prevention of illegal activities.	GENERIC	tighter regulation, prevention of illegal activities (Causes)						
e4-e1	not adjacent	und	3			British and American intelligent services are using controversial practices.	GENERALIZING	British intelligence services, using controversial practices (CapableOf)/American intelligence services, using controversial practices (CapableOf)	If someone collaborate that means they are using the same practices.	GENERIC/GENERIC	collaborating, using the same practices (IsA)/collaborating, using the same practices (DefinedAs)	German intelligent services are using controversial practices.	GENERIC	German intelligent services, using controversial practices (CapableOf)						
e5-e4	adjacent	sup	1			A close collabaroation enables surveillance.	GENERIC	close collaboration, surveillance (Causes)/close collaboration, surveillance (CapableOf)												
e2-e3	adjacent	NONE	2			Edward Snowden disclosed information about illegal activities of the intelligence services.	EVENT	Edward Snowden, disclose information (CapableOf)/intelligence services, illegal activities (CapableOf)/Edward Snowden, disclosures (Causes)/illegal activities, disclosed (ReceivesAction)	This information concerns the British and American intelligence services.	STATE	British intelligence services, concerned by information (ReceivesAction)/American intelligence services, concerned by information (ReceivesAction)									
e3-e4	adjacent	NONE	1			Disclosed information concerning the British and American intelligence services also concern the German services.	GENERIC	British intelligence services, concerned by information (ReceivesAction)/American intelligence services, concerned by information (ReceivesAction)/German services, concerned by information (ReceivesAction)/information, disclosed (HasProperty)/information, concern British intelligence services (CapableOf)/information, concern American intelligence services (CapableOf)/information, concern German intelligence services (CapableOf)												
