TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: German universities should on no account charge tuition fees.				GENERIC	German universities, not charge tuition fees (CapableOf)/universities, Germany (AtLocation)/German universities, charge tuition fees (NotCapableOf)															
e2: This would simply mean that only those people with wealthy parents or a previous education and a part-time job while studying would be able to apply for a degree programme in the first place.				GENERIC/GENERIC	people with wealthy parents, apply for a degree programme (CapableOf)/people with a previous education, apply for a degree programme (CapableOf)/people with a part-time job while studying, apply for a degree programme (CapableOf)/apply for a degree programme, have wealthy parents (HasPrerequisite)/apply for a degree programme, have a previous education (HasPrerequisite)/apply for a degree programme, have a part-time job while studying (HasPrerequisite)															
e3: Even without tuition fees half of the student population has to work while studying and hence has less time for studying or recreation.				GENERIC/GENERIC	half of the student population, work while studying (CapableOf)/half of the student population, less time for studying (HasA)/half of the student population, less time for recreation (HasA)/half of the student population, time for studying (NotHasA)/half of the student population, time for recreation (NotHasA)/work while studying, less time for recreation (Causes)/work while studying, less time for studying (Causes)/work while studying, time for recreation (NotCauses)/work while studying, time for studying (NotCauses)															
e4: One could argue that an increase in tuition fees would allow institutions to be better equipped.				GENERIC/STATE	increase in tuition fees, better equipment of institutions (Causes)/institutions, better equipped (HasProperty)/tuition fees, increased (ReceivesAction)/institutions, being better equipped (CapableOf)															
e5: But what is the good of a wonderfully outfitted university if it doesn't actually allow the majority of clever people to broaden their horizons with all that great equipment?				QUESTION/GENERIC	university, good (HasA)/university, allow majority of clever people (CapableOf)/people, broaden horizons (CapableOf)/great equipment, broaden horizon (UsedFor)/wonderfully outfitted university, great equipment (HasA)/people, clever (HasProperty)															
e2-e1	adjacent	sup	1			Tuition fees can only be paid with wealthy parents or with a part-time job.	GENERIC	tuition fees, paid with wealthy parents or with a part-time job (ReceivesAction)/wealthy parents, pay tuition fees (CapableOf)/part-time job, pay tuition fees (UsedFor)/pay tuition fees, have wealthy parents (HasPrerequisite)/pay tuition fees, have a part-time job (HasPrerequisite)												
e3-e1	not adjacent	sup	1			To pay tuition fees, many students must work.	GENERIC	students, pay tuition fees (CapableOf)/many students, work (CapableOf)/work, pay tuition fees (UsedFor)/pay tuition fees, work (HasPrerequisite)												
e4-e1	not adjacent	reb	0																	
e5-e1	not adjacent	und	2			The payment of tuition fees enables access to the university.	GENERIC	payment of tuition fees, access to the university (UsedFor)/tuition fees, paid (ReceivesAction)/university, tuition fees (HasA)/payment of tuition fees, access to the university (Causes)	The majority of clever people cannot pay tuition fees.	STATE	tuition fees, paid by clever people (ReceivesAction)/majority of clever people, pay tuition fees (NotCapableOf)									
e3-e4	adjacent	NONE	1			Students study at institutions.	GENERIC	students, study at institutions (CapableOf)/students, institutions (AtLocation)/students, study (CapableOf)/study, institutions (AtLocation)/institutions, studying (UsedFor)												
e4-e5	adjacent	NONE	3			Universities are institutions.	GENERIC	universities, institutions (IsA)	Tuition fees pay for great equipment.	GENERIC	tuition fees, pay for great equipment (CapableOf)/great equipment, paid for by tuition fees (ReceivesAction)/tuition fees, great equipment (UsedFor)/tuition fees, great equipment (Causes)	When universities charge tuition fees, clever people who cannot pay cannot study.	GENERIC/GENERIC/GENERIC	universities, charge tuition fees (CapableOf)/charging tuition fees, not studying (Causes)/some clever people, pay (NotCapableOf)/tuition fees, paid (ReceivesAction)/study, pay tuition fees (HasPrerequisite)/clever people who cannot pay, study (NotCapableOf)						
e2-e3	adjacent	NONE	2			Studying is expensive.	GENERIC	studying, expensive (HasProperty)	Apart from tuition fees, students have earn money for their life costs.	GENERIC	money, life costs (UsedFor)/money, tuition fees (UsedFor)/students, earn money for their life costs (CapableOf)/students, life costs (HasA)/pay for life costs, earn money (HasPrerequisite)/students, earn money (CapableOf)/pay tuition fees, earn money (HasPrerequisite)									
