TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: No, the retirement age should be raised to 65 again.				STATE	retirement age, raised to 65 (ReceivesAction)															
e2: People are getting older on average,				GENERIC	people, getting older (CapableOf)/people, older on average (HasProperty)															
e3: but they are not sicker and not duller because of it.				GENERIC	people, sicker (NotHasProperty)/people, duller (NotHasProperty)/getting older, being sicker (NotCauses)/getting older, being duller (NotCauses)															
e4: Without them we'd forgo a great deal of collected experience.				GENERIC																
e5: And we'd have to offer more leisure activities for seniors.				GENERIC	seniors, leisure activities (Desires)/seniors, offered more leisure activities (ReceivesAction)															
e3-e1	not adjacent	sup	3			The average age of people has risen.	STATE	average age of people, risen (HasProperty)/people, getting older (CapableOf)/people, older (HasProperty)	Those who are not sick or dull can still work at the age of 65.	GENERIC/GENERIC	those who are not sick, work at the age of 65 (CapableOf)/those who are not dull, work at the age of 65 (CapableOf)	The retirement age should be adjusted to the average age.	GENERIC	retirement age, adjusted to average age (ReceivesAction)						
e4-e1	not adjacent	sup	2			People of a higher age have more experience.	GENERIC	higher age, more experience (Causes)/people, higher age (HasA)/people of higher age, more experience (HasA)	If the retirement age is increased, more people of a higher age will work.	GENERIC/GENERIC	retirement age, increased (ReceivesAction)/increasing the retirement age, people of higher age will work (Causes)/people of a higher age, work (CapableOf)									
e5-e1	not adjacent	sup	3			Those who retire need leisure activities.	GENERIC	retirement, do leisure activities (CausesDesire)/people who retire, do leisure activities (Desires)/retirement, need for leisure activities (Causes)	There are not enough leisure activities yet.	GENERIC	leisure activities, enough (HasProperty)	Seniors are retired.	GENERIC	seniors, retired (HasProperty)						
e1-e2	adjacent	NONE	2			People who are getting older can work longer.	GENERIC	people, get older (CapableOf)/people, work longer (CapableOf)/getting older, work longer (Causes)/people who are getting older, work longer (CapableOf)	Old people retire.	GENERIC	old people, retire (CapableOf)/being old, retirement (Causes)									
e2-e3	adjacent	NONE	1			Old age does not make people sicker or duller.	GENERIC	old age, make people sicker (NotCauses)/old age, make people duller (NotCauses)/old age, sickness (NotCauses)/old age, dullness (NotCauses)												
e3-e4	adjacent	NONE	2			Old people have experiences.	GENERIC	old people, experiences (HasA)	Old people who are not sick or dull pass on experiences.	GENERIC										
e4-e5	adjacent	NONE	4			Old people have more experience.	GENERIC	old people, more experience (HasA)	Seniors are old people.	GENERIC	seniors, old people (IsA)/seniors, old people (DefinedAs)	People with a lot of experience should work.	GENERIC	people, a lot of experience (HasA)/people with a lot of experience, work (CapableOf)/a lot of experience, work (UsedFor)	People who do not work need leisure activities.	GENERIC	no work, need for leisure activities (Causes)/people who do not work, in need of leisure activities (HasProperty)			
