TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Yes, it's annoying and cumbersome to separate your rubbish properly all the time.				GENERIC	rubbish, annoying (HasProperty)/rubbish, cumbersome (HasProperty)															
e2: Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.				GENERIC/GENERIC	bin bags, stink (HasProperty)/bin bags, kitchen (LocatedAt)/bin bags, sorted into wheelie bins (ReceivesAction)															
e3: But still Germany produces way too much rubbish				GENERALIZING	Germany, rubbish (Causes)															
e4: and too many resources are lost when what actually should be separated and recycled is burnt.				GENERIC/GENERIC	resources, get lost (ReceivesAction)/resources, seperated (ReceivesAction)/resources, recycled (ReceivesAction)/resources, burnt (ReceivesAction)															
e5: We Berliners should take the chance and become pioneers in waste separation!				GENERIC/GENERIC	Berliners, pioneers (IsA)/waste separation, chance (IsA)															
e1-e5	not adjacent	reb	1			Waste separation means separating your rubbish.	GENERIC	waste separation, separating rubbish (IsA)/waste separation, separating rubbish (DefinedAs)												
e2-e1	adjacent	sup	2			Rubbish is separated into different wheelie bins.	GENERIC	rubbish, separated into wheelie bins (ReceivesAction)	Rubbish stinks, which is annoying.	GENERIC	rubbish, annoying (HasProperty)/rubbish, stink (Causes)									
e3-e5	not adjacent	und	2			It is bad for the environment to produce too much rubbish.	STATE	rubbish, bad for the environment (HasProperty)	Waste separation is part of environmental protection.	GENERIC	waste separation, environmental protection (PartOf)									
e4-e5	adjacent	add	1			Rubbish is waste.	GENERIC	rubbish, waste (IsA)												
e2-e3	adjacent	NONE	1			If too much rubbish is produced, it is important to sort it.	GENERIC/GENERIC	rubbish, sorted (ReceivesAction)												
e3-e4	adjacent	NONE	2			Rubbish is a resource.	GENERIC	rubbish, resource (IsA)	If too much rubbish is produced, it is important to separate and recycle it.	GENERIC/GENERIC	rubbish, produced (ReceivesAction)/rubbish, separated (ReceivesAction)/rubbish, recycled (ReceivesAction)									
