TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: There should be much higher fines for dog dirt left on pavements.				GENERIC	dog dirt, pavements (AtLocation)/dog dirt, fines (Causes)															
e2: Stepping in dog dirt is gross and absolutely ruins your day				GENERIC/GENERIC	stepping in dog dirt, gross (HasProperty)/stepping in dog dirt, ruin of day (Causes)															
e3: due to the dirt, the stench and the often considerable effort to get rid of it.				N.A.	dog dirt, stench (HasA)/dog dirt, ruin your day (CapableOf)/stence, ruin your day (CapableOf)/effort to get rid of dog dirt, ruin your day (CapableOf)/dirt, ruin your day (Causes)/stence, ruin your day (Causes)/effort to get rid of dog dirt, ruin your day (Causes)															
e4: Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate.				STATE/STATE	public urination by a human, higher fines (HasA)/public urination by a human, higher fines (Causes)/leaving behind dog dirt, higher fines (NotHasA)/leaving behind dog dirt, higher fines (NotCauses)/higher fines for public urination by a human, disproportionate (HasProperty)															
e5: Some dog owners assume that paying a dog licence fee covers the removal of such waste,				ABSTRACT ENTITY/GENERIC	dog owners, pay dog licence (CapableOf)/waste, removed (ReceivesAction)/dog licence fee, removal of dog dirt (NotUsedFor)															
e6: but according to this logic one could hardly make the taxpayer accountable for almost any offense.				GENERIC	taxpayer, accountable for offenses (HasProperty)/covering removal of dog dirt through the dog licence fee, not making the tax payer accountable for offenses (Causes)															
e2-e1	adjacent	sup	1			Higher fines prevent from gross and ruining things.	GENERIC	gross things, fines (ObstructedBy)/ruining things, fines (ObstructedBy)/fines, prevent from gross things (CapableOf)/fines, prevent from ruining things (CapableOf)/fines, preventing from gross things (UsedFor)/fines, preventing from ruining things (UsedFor)												
e3-e2	adjacent	sup	1			Dog dirt causes dirty and stench.	GENERIC	dog dirt, dirty (HasProperty)/dog dirt, dirt (Causes)/dog dirt, stench (Causes)												
e4-e1	not adjacent	sup	2			Dog dirt is a greater offense as public urination.	GENERIC	dog dirt, greater offense than public urination (IsA)/dog dirt, offense (IsA)/public urination, offense (IsA)	The greater the offense, the greater the fines should be.	GENERIC	greater offense, greater fines (Causes)									
e5-e1	not adjacent	reb	3			Dog dirt is waste.	GENERIC	dog dirt, waste (IsA)	Waste must be removed.	GENERIC	waste, removing (CausesDesire)/waste, removed (ReceivesAction)	Dog licence fee does not cover the removal of dog dirt.		dog licence fee, cover removal of dog dirt (NotCapableOf)/dog licence fee, removal of dog dirt (NotCauses)/removal of dog dirt, dog licence fee (NotPartOf)/dog dirt, removed (ReceivesAction)						
e6-e5	adjacent	reb	2			Dog owners are accountable for the waste of their dogs.	GENERIC	dog owners, accountable for waste of their dogs (HasProperty)	The payment of dog licence fees does not release you from any accountability.	GENERIC	dog licence fee, release from any accountability (NotCauses)									
e3-e4	adjacent	NONE	3			Dog dirt is dirty, stinking and hard to remove.	GENERIC	dog dirt, dirty (HasProperty)/dog dirt, stinking (HasProperty)/dog dirt, hard to remove (HasProperty)	When humans urinate publicly, it is less dirty, stinking and hard to remove.	GENERIC/GENERIC	public urination, less dirty (HasProperty)/public urination, less stinking (HasProperty)/public urination, less hard to remove (HasProperty)	Fines should be proportionate to the offense.		fines, proportionate to offense (HasProperty)						
e4-e5	adjacent	NONE	3			Dog dirt is waste.	GENERIC	dog dirt, waste (IsA)	Waste must be removed.	GENERIC	waste, removing (CausesDesire)/waste, removed (ReceivesAction)	The removal of dog dirt must be paid.		removal of dog dirt, paid (ReceivesAction)						
