TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Although IBM's numbers haven't been staggering recently,				STATE	IBM's numbers, not staggering (CapableOf)/IBM's numbers, staggering (NotHasProperty)															
e2: and the mood in the stock market could be better on the whole,				STATE	stock market, mood (HasA)/mood in the stock market, better (HasProperty)/mood in the stock market, be better (CapableOf)															
e3: you should buy IBM shares if you want to invest.				GENERIC/GENERIC	IBM shares, bought (ReceivesAction)/IBM shares, investment (IsA)/buy IBM shares, invest (MotivatedByGoal)/IBM shares, investing (UsedFor)/you, buy IBM shares (CapableOf)/you, invest (CapableOf)/you, invest (Desires)/buying IBM shares, investing (DefinedAs)/buying IBM shares, investment (Causes)															
e4: Because for one thing, their products will still sell in bad times,				STATE	IBM products, sell in bad times (CapableOf)															
e5: and in addition, such a share is not as sensitive as those of other IT companies.				STATE	IBM shares, sensitive (NotHasProperty)/IT companies, shares (HasA)/shares of IT companies, sensitive (HasProperty)															
e1-e3	not adjacent	reb	2			To invest you should buy the shares of companies with stable numbers.	GENERIC	shares of companies with stable numbers, invest (UsedFor)/buy the shares of companies with stable numbers, invest (MotivatedByGoal)/buying the shares of companies with stable numbers, investing (DefinedAs)/investing, buy the shares of companies with stable numbers (CausesDesire)/you, buy the shares of companies with stable numbers (CapableOf)/buy the shares of companies with stable numbers, investment (Causes)/you, invest (CapableOf)/some companies, stable numbers (HasA)	Numbers that haven't been staggering recently are stable.	GENERIC	numbers, stable (HasProperty)/numbers, stagger (CapableOf)/numbers that haven't been staggering recently, stable (HasProperty)/staggerin, stable (Antonym)									
e2-e3	adjacent	reb	2			Shares are traded on the stock exchange	GENERIC	shares, stock exchange (AtLocation)/stock exchange, trading shares (UsedFor)/trading of shares, stock exchange (AtLocation)/shares, traded at the stock exchange (ReceivesAction)	To invest you should buy shares if the mood on the stock exchange is good.	GENERIC/STATE	shares, invest (UsedFor)/buy shares, invest (MotivatedByGoal)/buy shares if the mood on the stock exchange is good, invest (MotivatedByGoal)/buying shares, investing (DefinedAs)/investing, buy shares if the mood on the stock exchange is good (CausesDesire)/you, buy shares (CapableOf)/you, buy shares if the mood on the stock exchange is good (CapableOf)/buy shares, investment (Causes)/you, invest (CapableOf)/stock exchange, mood (HasA)/buy shares, wait for good mood on the stock exchange (HasPrerequisite)/mood on the stock exchange, good (HasProperty)/good mood on the stock exchange, buy shares (CausesDesire)									
e4-e3	adjacent	sup	1			Shares of companies whose products sell even in bad times are good for investments.	GENERIC/GENERIC	shares of companies whose products sell even in bad times, good for investments (HasProperty)/companies, shares (HasA)/companies, products (HasA)/company, sell products even in bad times (CapableOf)/shares of companies whose products sell even in bad times, invest (CausesDesire)												
e5-e3	not adjacent	sup	2			IBM is an IT company.	STATE	IBM, IT company (IsA)	It is good to invest in shares that are not sensitive.		invest in shares that are not sensitive, good (HasProperty)/shares that are not sensitive, invest (CausesDesire)/shares that are not sensitive, investing (UsedFor)/shares, sensitive (NotHasProperty)									
e1-e2	adjacent	NONE	1			IBM is on the stock market.	STATE	IBM, stock market (AtLocation)/IBM, on the stock market (HasProperty)												
e4-e5	adjacent	NONE	1			IBM is an IT company.	STATE	IBM, IT company (IsA)												
