TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: I think Fritz has never been in a fight in his life.				ABSTRACT ENTITY/STATE	Fritz, never in fight (HasProperty)/Fritz, fight (NotPartOf)/Fritz, be in a fight (NotCapableOf)															
e2: As a boy he did use to scuffle with the other choirboys,				GENERALIZING	Fritz, boy (IsA)/Fritz, choirboy (IsA)/Fritz, scuffle with choirboys (CapableOf)/choirboys, scuffle (CapableOf)															
e3: but that hardly counts as a proper brawl.				STATE	scuffle with choirboys, proper brawl (NotIsA)/scuffle, brawl (NotIsA)															
e4: And he always chickens out when things get dicey.				GENERALIZING	Fritz, chicken out when things get dicey (CapableOf)/things getting dicey, chickening out (Causes)															
e5: Yesterday, when the bouncer wouldn't let us in, he was suddenly gone.				EVENT/STATE	Fritz, suddenly being gone (CapableOf)/bouncer not letting you in, suddenly be gone (Causes)/not being let in by the bouncer, suddenly being gone (Causes)															
e2-e1	adjacent	reb	1			Scuffles do not count as a fight.	GENERIC	scuffles, fight (NotIsA)												
e3-e1	not adjacent	und	1			In a brawl you fight.	GENERIC	brawl, fight (IsA)/brawl, fighting (DefinedAs)/fighting, brawl (PartOf)												
e4-e1	not adjacent	sup	2			Fighting may occur in dicey situations.	GENERIC	fighting, occur in dicey situations (CapableOf)/dicey situations, fighting (Causes)/fighting, dicey situations (PartOf)	If you get out of dicey situations, you don't need to fight.	GENERIC/GENERIC	you, get out of dicey situations (CapableOf)/you, no need to fight (HasA)/fighting, getting out of dicey situations (ObstructedBy)/getting out of dicey situations, not fighting (Causes)									
e5-e4	adjacent	exa	1			Not being let in by the bouncer is a dicey situation.	GENERIC	not being let in by bouncer, dicey situation (IsA)/bouncer, not let someone in (CapableOf)/being let in, bouncer (ObstructedBy)/situation, dicey (HasProperty)												
e2-e3	adjacent	NONE	1			A scuffle does not count as a proper brawl.	GENERIC	scuffle, proper brawl (NotIsA)/scuffle, count as a proper brawl (NotCapableOf)												
e3-e4	adjacent	NONE	2			In a proper brawl, people do not chicken out.	GENERIC	people, brawl (HasA)/people, chicken out of a proper brawl (NotCapableOf)/chickening out, brawl (NotPartOf)/brawl, chickening out (NotCauses)	In a proper brawl, things can get dicey.	GENERIC	brawl, dicey (HasProperty)/brawl, things getting dicey (Causes)									
