TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.				GENERIC	supermarkets, allowed to open on any Sundays (NotHasProperty)/supermarkets, allowed to open on any holidays (NotHasProperty)/shopping centres, allowed to open on any Sundays (NotHasProperty)/shopping centres, allowed to open on any holidays (NotHasProperty)/supermarkets, open on any Sundays (NotHasProperty)/supermarkets, open on any holidays (NotHasProperty)/shopping centres, open on any Sundays (NotHasProperty)/shopping centres, open on any holidays (NotHasProperty)															
e2: This may be a change for the employees that cannot to be implemented easily.				GENERIC/GENERIC	change, easil (NotHasProperty)/employees, change (ReceivesAction)/change, Implemented (ReceivesAction)															
e3: However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.				GENERIC	working customers, greater flexibility (HasA)/working customers, fewer nerve-racking peak times during week (HasA)/working customers, greater flexibility (Desires)/working customers, fewer nerve-racking peak times during the week (Desires)															
e4: Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.				GENERIC	society, digitised (ReceivesAction)/traditional model of weekend, obsolete (HasProperty)/growing digitalization of society, traditional model of the weekend becoming obsolete (Causes)															
e5: Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.				EVENT/EVENT	opening hours for retailers, Netherlands (AtLocation)/opening hours for retailers, Sweden (AtLocation)/opening hours for retailers, Great Britain (AtLocation)/Netherlands, European country (IsA)/Sweden, European country (IsA)/Great Britain, European country (IsA)/Netherlands, European countries (PartOf)/Sweden, European country (PartOf)/Great Britain, European country (PartOf)/opening hours for retailers, adjusted (ReceivesAction)															
e2-e1	adjacent	reb	1			Employees work in supermarkets and shopping centres.	GENERIC	employees, supermarkets (AtLocation)/employees, shopping centres (AtLocation)/employees, work in supermarkets (CapableOf)/employees, work in shopping centres (CapableOf)												
e3-e1	not adjacent	und	3			In supermarkets and shopping centres there are regular rush hours during the week.	GENERIC	supermarkets, rush hours during the week (HasA)/shopping centres, rush hours during the week (HasA)	Working customers work during the week.	GENERIC	working customers, work during week (CapableOf)	On Sundays and public holidays working people do not normally have to work.	GENERIC	people, work on Sundays and public holidays (NotCapableOf)						
e4-e1	not adjacent	sup	1			According to the traditional weekend model, supermarkets and shopping centres are closed on Sundays and public holidays.	GENERIC	traditional weekend model, supermarkets being closed on Sundays (DefinedAs)/traditional weekend model, supermarkets being closed on public holidays (DefinedAs)/traditional weekend model, shopping centres being closed on Sundays (DefinedAs)/traditional weekend model, shopping centres being closed on public holidays (DefinedAs)/traditional weekend model, supermarkets being closed on Sundays (Causes)/traditional weekend model, supermarkets being closed on public holidays (Causes)/traditional weekend model, shopping centres being closed on Sundays (Causes)/traditional weekend model, shopping centres being closed on public holidays (Causes)												
e5-e4	adjacent	exa	1			According to the traditional weekend model, supermarkets and shopping centres have no opening hours on Sundays and public holidays.	GENERIC	traditional weekend model, supermarkets not having opening hours on Sundays (DefinedAs)/traditional weekend model, supermarkets not having opening hours on public holidays (DefinedAs)/traditional weekend model, shopping centres not having opening hours on Sundays (DefinedAs)/traditional weekend model, shopping centres not having opening hours on public holidays (DefinedAs)/traditional weekend model, supermarkets not having opening hours on Sundays (Causes)/traditional weekend model, supermarkets not having opening hours on public holidays (Causes)/traditional weekend model, shopping centres not having opening hours on Sundays (Causes)/traditional weekend model, shopping centres not having opening hours on public holidays (Causes)/supermarkets, opening hours on Sundays (NotHasA)/shopping centres, opening hours on Sundays (NotHasA)/supermarkets, opening hours on public holidays (NotHasA)/shopping centres, opening hours on public holidays (NotHasA)												
e2-e3	adjacent	NONE	2			Working customers profit from changes (in opening times).	GENERIC	opening times, changed (ReceivesAction)/working customers, profit from changes in opening times (CapableOf)/working customers, profit from changes (CapableOf)/working customers, changes in opening times (Desires)/working customers, changes (Desires)	Employees normally work during the week.	GENERIC	employees, work during week (CapableOf)									
e3-e4	adjacent	NONE	2			The traditional model of the weekend means that shops are closed on the weekend.	STATE/GENERIC	closing of shops on the weekend, traditional model of weekend (IsA)/traditional model of the weekend, shops being closed on the weekend (DefinedAs)/traditional model of the weekend, shops being closed on the weekend (Causes)/shops, closed on the weekend (HasProperty)	Shops being closed on the weekend causes nerve-racking peak times for customers during the week.	GENERIC	shops, closed on weekend (HasProperty)/closed shops on weekend, nerve-racking peak times for customers during week (Causes)/customers, nerve-racking peak times during week (HasA)									
