TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: If Germany were to introduce the death penalty, convicted felons could not be paroled or break out of prison and commit new felonies.				STATE/GENERIC/GENERIC	convicted felons not being paroledGermany, introduce death penalty (CapableOf)/convicted felons, paroled (NotReceivesAction)/convicted felons, break out of prison (CapableOf)/convicted felons, commit new felonies (CapableOf)/death penalty, convicted felons not being paroled (Causes)/death penalty, convicted felons not breaking out of prison (Causes)/death penalty, convicted felons not committing new felonies (Causes)/convicted felons committing new felonies, death penalty (ObstructedBy)/convicted felons breaking out of prison, death penalty (ObstructedBy)/convicted felons  committing new felonies, death penalty (ObstructedBy)/death penalty, introduced (ReceivesAction)															
e2: However, a death would not be of any more use to those affected and their relatives than if the felon receives a long.				GENERIC/GENERIC	death, use to those affected (NotHasA)/death, use to relatives (NotHasA)/felon, receive a long (CapableOf)/felon, use to those affected (Causes)/felon, use to those affected (HasA)/felon, use to relatives of those affected (Causes)/felon, use to relatives of those affected (HasA)															
e3: Plus we don't live in medieval times anymore.				GENERIC	we, live in medieval times (NotCapableOf)/we, medieval times (NotAtLocation)															
e4: Handing out capital punishment is unethical.				GENERIC	capital punishment, unethical (HasProperty)/capital punishment, handed out (ReceivesAction)															
e5: We don't need it.				GENERIC	we, not need capital punishment (CapableOf)/capital punishment, needed (NotHasProperty)/we, need for capital punishment (NotHasA)															
e1-e5	not adjacent	reb	0																	
e2-e5	not adjacent	und	2			The punishment of a felon should help those affected and their relatives.	GENERIC	punishment of felon, help those affected (CapableOf)/felon, punished (ReceivesAction)/punishment of a felon, help those affected (UsedFor)/punishment of a felon, help those affected (Causes)/punishment of a felon, help the relatives of those affected (UsedFor)/punishment of a felon, help the relatives of those affected (Causes)	The death penalty does not help those affected and their families.	STATE	death penalty, help those affected (NotCapableOf)/death penalty, help those affected (NotCauses)/death penalty, help the relatives of those affected (NotCapableOf)/death penalty, help the relatives of those affected (NotCauses)									
e3-e5	not adjacent	sup	1			In the medieval times, the death penalty was often imposed.	GENERIC	death penalty, imposed in medieval times (ReceivesAction)/medieval times, death penalty (Causes)												
e4-e5	adjacent	sup	1			You don't need things that are unethical.	GENERIC	things that are unethical, needed (NotHasProperty)/unethical things, needed (NotHasProperty)												
e1-e2	adjacent	NONE	3			The punishment of a felon should help those affected and their relatives.	GENERIC	punishment of felon, help those affected (CapableOf)/felon, punished (ReceivesAction)/punishment of a felon, help those affected (UsedFor)/punishment of a felon, help those affected (Causes)/punishment of a felon, help the relatives of those affected (UsedFor)/punishment of a felon, help the relatives of those affected (Causes)	The death penalty is a punishment.	STATE	death penalty, punishment (IsA)	The death penalty does not help those affected and their families.	GENERIC	death penalty, help those affected (NotCapableOf)/death penalty, help those affected (NotCauses)/death penalty, help the relatives of those affected (NotCapableOf)/death penalty, help the relatives of those affected (NotCauses)						
e2-e3	adjacent	NONE	1			In medieval times, deaths were common.	GENERIC	deaths, common in medieval times (HasProperty)/medieval times, deaths (Causes)												
e3-e4	adjacent	NONE	2			In medieval times, capital punishment was common.	GENERIC	capital punishment, common in medieval times (HasProperty)	The medieval times were unethical.	STATE	medieval times, unethical (HasProperty)									
