TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Excessive consumption of meat is unhealthy.				GENERIC	excessive consumption of meat, unhealthy (HasProperty)/meat, consumed excessively (ReceivesAction)															
e2: Furthermore, the production of meat is comparably resource-intensive.				GENERIC	meat, produced (ReceivesAction)/production of meat, resource-intensive (HasProperty)															
e3: We should thus all limit our consumption of meat rigorously.				GENERIC	we, limit consumption of meat (CapableOf)/we, consumption of meat (HasA)/meat, consumed (ReceivesAction)/consumption of meat, limited (ReceivesAction)															
e4: One could worry that our farmers would then run into economic difficulties.				GENERIC/GENERIC	economic difficulties of farmers, worry (IsA)/farmers, run into economic difficulties (CapableOf)/farmers, economic difficulties (HasA)/farmers, economic difficulties (HasA)															
e5: However, no serious economist has confirmed this prediction to date.				GENERIC	serious economist, confirm farmers running into economic difficulties (NotCapableOf)/farmers running into economic difficulties, confirmed (NotReceivesAction)/farmers running into economic difficulties, confirmed (NotHasProperty)/farmers running into economic difficulties, prediction (IsA)/serious economist, confirm this prediction (NotCapableOf)/prediction, confirmed (NotReceivesAction)/prediction, confirmed (NotHasProperty)															
e1-e3	not adjacent	sup	1			If something is unhealthy, it should be limited.	GENERIC/GENERIC	something unhealthy, limited (ReceivesAction)												
e2-e3	adjacent	sup	3			the greater the meat consumption, the greater the meat production.	N.A.	meat consumption, greater (HasProperty)/meat production, greater (HasProperty)/meat consumption, meat production (HasPrerequisite)/greater meat consumption, greater meat production (HasPrerequisite)/meat consumption, meat production (Causes)/greater meat consumption, greater meat production (Causes)/meat production, meat consumption (UsedFor)/greater meat production, greater meat consumption (UsedFor)	Resource-intensive production is bad for the environment.	GENERIC	resource-intensive production, bad for environment (HasProperty)/production, resource-intensive (HasProperty)	Less meat consumption protects the environment.	GENERIC	less meat consumption, protection of environment (Causes)/meat, consumed (ReceivesAction)/environment, protected (ReceivesAction)/less meat consumption, protect the environment (CapableOf)/protecting the environment, meat consumption (ObstructedBy)						
e4-e3	adjacent	reb	3			Farmers are responsible for meat production.	GENERIC	farmers, responsible for meat production (HasProperty)/farmers, produce meat (CapableOf)/meat, produced (ReceivesAction)	If meat consumption is restricted, less meat is sold.	GENERIC/GENERIC	meat consumption, restricted (ReceivesAction)/restriction of meat consumption, selling of less meat (Causes)/selling meat, meat consumption (HasPrerequisite)/selling meat, restricted meat consumption (ObstructedBy)	Less meat sold leads to economic difficulties for the farmers.	GENERIC	meat, sold (ReceivesAction)/farmers, economic difficulties (HasA)/selling less meat, economic difficulties for the farmers (Causes)						
e5-e4	adjacent	reb	1			An economist knows which behaviour leads to economic difficulties.	ABSTRACT ENTITY/GENERIC	economist, knowledge (HasA)/economist, know which behaviour leads to economic difficulties (CapableOf)/behaviour, lead to economic difficulties (CapableOf)/behaviour, economic difficulties (Causes)												
e1-e2	adjacent	NONE	2			When much meat is consumed, much meat must be produced.	GENERIC/GENERIC	meat, consumed (ReceivesAction)/meat, produced (ReceivesAction)/much meat consumed, much meat produced (Causes)/consuming meat, producing meat (HasPrerequisite)	Excessive consumption of meat uses up many resources.	GENERIC	consumption of meat, use up resources (CapableOf)/consumption of meat, use up resources (HasPrerequisite)/consumption of meat, use up resources (HasSubevent)/resources, consumption of meat (UsedFor)									
