TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.				GENERIC/GENERIC/GENERIC	morning-after pill', feel at ease (Causes)/'morning-after pill', nice (HasProperty)/'morning-after pill', simple (HasProperty)/you, take the 'morning-after pill' (CapableOf)/fun night out with a party acquaintance, take the 'morning-after pill' (CausesDesire)/fun night out with a party acquaintance, feel at ease (CausesDesire)/have a fun night out with a party acquaintance, take the 'morning-after pill' (HasLastSubevent)/'morning-after pill', taken (ReceivesAction)/'morning-after pill', feel at ease (UsedFor)															
e2: But it's not that simple.				GENERIC	taking the 'morning-after pill', simple (NotHasProperty)															
e3: Perhaps a new life was already created that night.				EVENT	new life, created (ReceivesAction)															
e4: I would kill it without further thought.				STATE	new life, killed (ReceivesAction)															
e5: That's why a visit to the doctor and professional advice should remain mandatory.				GENERIC	visit to the doctor, mandatory (HasProperty)/professional advice, mandatory (HasProperty)															
e1-e5	not adjacent	reb	4			The morning after pill can be obtained from your doctor.	GENERIC	morning-after pill, obtained from doctor (ReceivesAction)/morning-after pill, doctor (AtLocation)/obtain morning-after pill, visit your doctor (HasPrerequisite)	When something is mandatory, it is not easy.	GENERIC/GENERIC		During a fun night, contraception is often forgotten.	GENERIC	fun night, forgetting contraception (Causes)/having a fun night, forgetting contraception (HasSubevent)/contraception, forgotten (ReceivesAction)	The doctor advices contraception.	GENERIC	doctor, advice contraception (CapableOf)			
e2-e1	adjacent	reb	0																	
e3-e2	adjacent	sup	3			The morning-after pill kills a new life.	GENERALIZING	morning-after pill, kill a new life (CapableOf)/new life, killed (ReceivesAction)	Killing a new life is controversial.	GENERIC	Killing a new life, controversial (HasProperty)/new life, killed (ReceivesAction)	What is controversial is not easy.	GENERIC	something controversial, easy (NotHasProperty)/controversial, easy (Antonym)						
e4-e2	not adjacent	add	3			The morning-after pill kills a new life.	GENERALIZING	morning-after pill, kill a new life (CapableOf)/new life, killed (ReceivesAction)	Killing a new life is controversial.	GENERIC	Killing a new life, controversial (HasProperty)/new life, killed (ReceivesAction)	What is controversial is not easy.	GENERIC	something controversial, easy (NotHasProperty)/controversial, easy (Antonym)						
e3-e4	adjacent	NONE	2			The morning-after pill is taken after the night.	GENERALIZING	night, taking the morning-after pill (HasLastSubevent)/morning-after pill, taken (ReceivesAction)	The morning-after pill kills a new life.	GENERIC	morning-after pill, kill a new life (CapableOf)/new life, killed (ReceivesAction)									
e4-e5	adjacent	NONE	5			Killing someone should be a difficult decision.	GENERIC	killing, difficult (HasProperty)/killing someone, difficult decision (IsA)	A difficult decision requires further thought.	GENERIC	difficult decision, further thought (HasPrerequisite)	Visiting a doctor and getting professional advice means to put in further thought.	GENERIC	visit a doctor, put in further thought (MotivatedByGoal)/get professional advice, put in further thought (MotivatedByGoal)	What is mandatory requires further thought.	GENERIC	what is mandatory, put in further thought (HasPrerequisite)	A doctor can give advice on killing a new life.	GENERIC	doctor, give advice (CapableOf)/new life, killed (ReceivesAction)
