TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.				GENERIC	supermarkets, allowed to open any Sundays (ReceivesAction)/supermarkets, allowed to open any Sundays (NotHasProperty)/supermarkets, opened any Sundays (NotReceivesAction)/supermarkets, open any Sundays (NotHasProperty)/supermarkets, allowed to open any holidays (ReceivesAction)/supermarkets, allowed to open any holidays (NotHasProperty)/supermarkets, opened any holidays (NotReceivesAction)/supermarkets, open any holidays (NotHasProperty)/shopping centres, allowed to open any Sundays (ReceivesAction)/shopping centres, allowed to open any Sundays (NotHasProperty)/shopping centres, opened any Sundays (NotReceivesAction)/shopping centres, open any Sundays (NotHasProperty)/shopping centres, allowed to open any holidays (ReceivesAction)/shopping centres, allowed to open any holidays (NotHasProperty)/shopping centres, opened any holidays (NotReceivesAction)/shopping centres, open any holidays (NotHasProperty)															
e2: For in this way, Sunday shopping days would be better spread out through the year.				GENERIC	Sunday shopping days, spread out through year (NotHasProperty)/Sunday shopping days, year (PartOf)/Sunday shopping days, better spread out through the year (ReceivesAction)															
e3: Also streets and shops would presumably be emptier				GENERIC	streets, emptier (HasProperty)/shops, emptier (HasProperty)															
e4: as not everyone would be open on the same day.				GENERIC	not everyone, open the same day (HasProperty)/everyone, open the same day (NotHasProperty)/not everyone, open the same day (CapableOf)/everyone, open the same day (NotCapableOf)															
e5: However then you'd have a worse overview of which shop is open on a given day.				GENERIC/STATE	shops, open (HasProperty)/overview, know which shops are open (UsedFor)/overview, know which shops are open (Causes)/overview, worse (HasProperty)															
e2-e1	adjacent	sup	2			On Sunday shopping days all supermarkets and shopping centres are open.	GENERIC	Sunday shopping days, supermarkets being open (Causes)/Sunday shopping days, shopping centres being open (Causes)/supermarkets, open on Sunday shopping days (HasProperty)/shopping centres, open on Sunday shopping days (HasProperty)	If you open all supermarket on the same day, Sunday shopping days are not spread out well through the year.	GENERIC/GENERIC	opening all supermarkets on the same day, Sunday shopping days not being spread out well throughout the year (Causes)/Sunday shopping days being spread out well throughout the year, opening all supermarkets on the same day (ObstructedBy)									
e3-e1	not adjacent	sup	2			When stores open on Sundays and public holidays, customers spread over more shopping days.	GENERIC/GENERIC	stores, open on Sundays and public holidays (HasProperty)/customers, spread over more shopping days (HasProperty)/customers, stores (AtLocation)/Sundays and public holidays, shopping days (IsA)/stores opening on Sundays, customers spreading over more shopping days (Causes)/stores opening on public holidays, customers spreading over more shopping days (Causes)	Streets and shops are emptier if customers spread over more shopping days.	GENERIC/GENERIC	streets and shops, emptier (HasProperty)/customers, spread over more shopping days (HasProperty)/customers, streets and shops (AtLocation)/customers spreading over more shopping days, emptier streets (Causes)/customers spreading over more shopping days, emptier shops (Causes)									
e4-e3	adjacent	sup	2			If not all are open on the same day, the customers are spread over more shopping days.	GENERIC/GENERIC	all shops, open on same day (NotHasProperty)/customers, spread over more shopping days (HasProperty)/not all being open on the same day, customers spreading over more shopping days (Causes)/customers spreading over more shopping days, all being open on the same day (ObstructedBy)	Shops are empty if customers spread over more shopping days.	GENERIC/GENERIC	shops, empty (HasProperty)/customers, spread over more shopping days (HasProperty)/spreading of customers over more shopping days, empty shops (Causes)/customers, shops (AtLocation)									
e5-e1	not adjacent	reb	1			If Supermarkets and shopping centres decide about opening hours, you have a worse overview of opening hours.	GENERIC/GENERIC	supermarkets and shopping centres, decide about opening hours (CapableOf)/supermarkets and shopping centres, opening hours (HasA)/you, worse overview of opening hours (HasA)/Supermarkets deciding about opening hours, worse overview of opening hours (Causes)/shopping centres deciding about opening hours, worse overview of opening hours (Causes)												
e4-e5	adjacent	NONE	1			If not every shop is open the same day, you need an overview of which shop is open on a given day.	GENERIC/GENERIC/GENERIC	not every shop, open same day (HasProperty)/shop, open on given day (HasProperty)/not every shop being open the same day, overview of which shop is open on a given day (CausesDesire)/not every shop being open the same day, overview (CausesDesire)												
e2-e3	adjacent	NONE	2			If Sunday shopping days were better spread out through the year, not everyone goes shopping the same day.	GENERIC/GENERIC	Sunday shopping days, spread out through year (NotHasProperty)/not everyone, go shopping same day (CapableOf)/Sunday shopping days, year (PartOf)/Sunday shopping days being better spread through the year, not everyone going shopping the same day (Causes)/Sunday shopping days being better spread through the year, everyone going shopping the same day (NotCauses)	If not everyone goes shopping the same day, streets and shops are emptier.	GENERIC/GENERIC	not everyone, go shopping same day (CapableOf)/streets and shops, emptier (HasProperty)/everyone going shopping the same day, emptier streets (NotCauses)/everyone going shopping the same day, emptier shops (NotCauses)/not everyone going shopping the same day, emptier streets (Causes)/not everyone going shopping the same day, emptier shops (Causes)									
