TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: The prototype of Audi's new sports car has car lovers raving.				STATE	Audi, prototype of new sports car (HasA)/Audi, car (IsA)/prototype, sports car (IsA)/prototype of Audi's new sports car, raving (Causes)/car lovers, raving (CapableOf)															
e2: The steering system may still need a bit of tweaking,				STATE	steering system, need of tweaking (HasA)/steering system, tweaked (ReceivesAction)															
e3: as the car jack-knifes at higher speeds,				GENERALIZING	car, jack-knife at higher speeds (CapableOf)/car, speeding (UsedFor)/higher speeds, jack-knife (Causes)															
e4: and surely you'll want to be speeding a lot with that beauty.				GENERIC	you, speed (CapableOf)/beauty, speeding (UsedFor)/beauty, speeding (CausesDesire)															
e5: But aside from that the car caters to pretty much every wish.				STATE	car, cater to wish (CapableOf)															
e2-e1	adjacent	reb	1			The steering system is part of the new Audi sports car.	STATE	steering system, new Audi sports car (PartOf)/new Audi sports car, steering system (HasA)												
e3-e2	adjacent	sup	1			The steering system is responsible for preventing jack-knifes.	GENERIC	steering system, prevent jack-knifes (UsedFor)/steering system, jack-knife (CapableOf)/jack-knifes, steering system (ObstructedBy)												
e4-e2	not adjacent	add	2			The steering system is responsible for preventing jack-knifes.	GENERIC	steering system, prevent jack-knifes (UsedFor)/steering system, jack-knife (CapableOf)/jack-knifes, steering system (ObstructedBy)	A car can easily jack-knife at higher speeds.	GENERIC	car, jack-knife at higher speeds (CapableOf)/higher speeds, jack-knife (Causes)/car, jack-knife (CapableOf)									
e5-e1	not adjacent	sup	1			When every wish is fulfilled, car lovers rave.	GENERIC/GENERIC	every wish being fulfilled, car lovers rave (Causes)/car lovers, rave (CapableOf)												
e3-e4	adjacent	NONE	2			The car is a beauty.	STATE	car, beauty (IsA)	When a car jack-knifes you cannot speed.	GENERIC/GENERIC	car, jack-knife (CapableOf)/you, not speed (CapableOf)/speed, no jack-knifing (HasPrerequisite)/speeding, car jack-knifes (ObstructedBy)									
e4-e5	adjacent	NONE	3			The car is a beauty.	STATE	car, beauty (IsA)	It is a wish to speed with a car.	GENERIC	speed with a car, wish (IsA)	When you want something, it is your wish.		wanting something, wish (IsA)/wish, wanting something (DefinedAs)						
