TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Rent increases upon re-letting aren't bad as such, if it's only a small amount,				GENERIC/GENERIC	rent increases, small (HasProperty)/rent increases, bad (NotHasProperty)/rent increases not being bad, being a small amount (HasPrerequisite)/re-letting, rent increases (Causes)															
e2: they're very bad however, if the rent suddenly climbs by 100,- or 200,-.				GENERIC/GENERIC	rent increases, be bad (CapableOf)/rent, suddenly climb by 100,- (CapableOf)/rent, suddenly climb by 200,- (CapableOf)/rent suddenly climbing by 100,-, bad (HasProperty)/rent suddenly climbing by 200,-, bad (HasProperty)/rent suddenly climbing by 100,-, rent increase (IsA)/rent suddenly climbing by 200,-, rent increase (IsA)															
e3: With those kinds of amounts you think twice about whether you really want to stay in the flat.				GENERIC/GENERIC	you, think twice (CapableOf)/you, stay in flat (CapableOf)/you, flat (AtLocation)/100,-, amount (IsA)/200,-, amount (IsA)/amount of 100,-, think twice about whether you really want to stay in the flat (Causes)/amount of 200,-, think twice about whether you really want to stay in the flat (Causes)															
e4: If there must be rent increases, there should also be a cap to avoid nasty surprises.				GENERIC/GENERIC	rent increases, capped (ReceivesAction)/cap rent increases, avoid nasty surprises (CapableOf)/rent increases, nasty surprise (IsA)/cap rent increases, avoid nasty surprises (MotivatedByGoal)/cap rent increases, avoid nasty surprises (UsedFor)/rent increases, cap (HasA)/rent increases, be capped (ReceivesAction)/nasty surprises, cap rent increases (ObstructedBy)/surprises, nasty (HasProperty)															
e5: This helps the landlords,				GENERIC	cap on rent increase, help landlords (CapableOf)/cap on rent increases, helping the landlords (UsedFor)															
e6: as they can adjust their expenses through the increase,				GENERIC	increase, adjust their expenses (UsedFor)/landlords, adjust their expenses (CapableOf)															
e7: and also the tenants,				N.A.	cap on rent increase, help tenants (CapableOf)/cap on  rent increases, help tenants (UsedFor)															
e8: as they can plan for a maximum rent increase.				GENERIC	tenants, plan for maximum rent increase (CapableOf)/rent increase, maximum (HasA)															
e9: That the landlords are then slightly restricted in the administration of their property is not a problem,				GENERIC/GENERIC	landlords, restricted (HasProperty)/landlords, administer property (CapableOf)/restriction of landlords, problem (NotIsA)/restriction of landlords, problem (NotCauses)															
e10: as they have more pull in the end anyway.				GENERIC	landlords, have more pull (CapableOf)/landlords, more pull (HasA)															
e1-e5	not adjacent	reb	1			Rent increases help the landlord.	GENERIC	rent increases, help the landlord (CapableOf)/rent increases, helping the landlord (UsedFor)												
e4-e2	not adjacent	sup	1			A rent increase of 100,- to 200,- is a nasty surprise.	GENERIC	rent increase of 100,- to 200,-, nasty surprise (IsA)												
e2-e3	adjacent	sup	1			If the rent rises from 100,- to 200,-, many cannot afford to stay in the flat.	GENERIC/GENERIC	many, afford to stay in flat (NotCapableOf)/rent, rise from 100,- to 200,- (CapableOf)/rent rise from 100,- to 200,-, many cannot afford to stay in the flat (Causes)/being affordable to stay in the flat, rent rise from 100,- to 200,- (ObstructedBy)												
e6-e5	adjacent	sup	1			Rent increases help the landlords.	GENERIC	rent increases, help the landlord (CapableOf)/rent increases, helping the landlord (UsedFor)												
e7-e6	adjacent	sup	1			Capping rent increases helps the tenants.	GENERIC	capping rent increases, help the tenants (CapableOf)/capping rent increases, helping the tenants (UsedFor)												
