TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: It was clearly a mistake to include Tom in our football team.				STATE	Tom, included in our football team (ReceivesAction)/Tom, football team (PartOf)/include Tom in our football team, mistake (IsA)															
e2: He's just not a team player, and often goes it alone.				STATE/GENERALIZING	Tom, no team player (IsA)/Tom, go it alone (CapableOf)															
e3: Plus he comes to training way too rarely,				GENERALIZING	Tom, come to training way too rarely (CapableOf)															
e4: although he plays very well without training.				GENERALIZING	Tom, playing very well without training (CapableOf)/playing very well, come to training (NotHasPrerequisite)															
e5: But the worst thing is his habit of always complaining to the referee.				GENERALIZING	habit of always complaining, worst thing (IsA)/complaining, worst thing (IsA)/Tom, complain (CapableOf)/Tom, habit of always complaining (HasA)/Tom, habit (HasA)/always complaining, habit (IsA)/referee, complaining (ReceivesAction)															
e2-e1	adjacent	sup	2			Football is a team sport.	STATE	football, team sport (IsA)	Going it alone is a mistake in a team sport.	GENERIC	going it alone, mistake in team sport (IsA)/going it alone, team sport (NotPartOf)/team sport, going it alone (NotHasSubevent)/team sport, going it alone (ObstructedBy)									
e3-e1	not adjacent	sup	2			Football teams need training to be successful.	GENERIC	football teams, need of training to be successful (HasA)/football teams, successful (HasProperty)/training, football teams being successful (Causes)/being successful, training (HasPrerequisite)/football teams, training (HasA)/training, success (Causes)	It is a mistake to rarely get into training.	GENERIC	rarely get into training, mistake (IsA)									
e4-e1	not adjacent	und	0																	
e5-e1	not adjacent	sup	2			It is bad habit to complain to the referee.	GENERIC	complaining to referee, bad habit (IsA)	You do not want to include someone with bad habits in your football team.	GENERIC	someone with bad habits, not wanted in your football team (HasProperty)/bad habits, including someone in your football team (NotCausesDesire)									
e2-e3	adjacent	NONE	0																	
e3-e4	adjacent	NONE	1			Training makes you play well.	GENERIC	training, well playing (Causes)/well playing, training (HasPrerequisite)												
e4-e5	adjacent	NONE	0																	
