TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.				GENERIC	people, work in shopping centres (CapableOf)/supermarket employees, right to a Sunday off work (HasA)/people who work in shopping centres, right to a Sunday off work (HasA)/supermarket employees, Sunday off work (Desires)/people who work in shopping centres, Sunday off work (Desires)															
e2: Likewise public holidays should remain what they are: for some a day of introspection, for others a paid day off that is not taken away from the annual paid leave proper.				GENERIC/GENERIC	public holidays, remain what they are (CapableOf)/public holidays, day of introspection (IsA)/public holidays, paid day off (IsA)/paid day off, not taken away from the annual paid leave proper (ReceivesAction)/paid day off, not taken away from the annual paid leave proper (DefinedAs)															
e3: Hence it is good when shops are not open on Sundays and public holidays.				GENERIC/GENERIC	shops, open on Sundays (NotHasProperty)/shops, open on public holidays (NotHasProperty)/not being open on public holidays, good (HasProperty)/not being open on Sundays, good (HasProperty)															
e4: People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.				GENERIC/GENERIC/GENERIC	people, work during the week (CapableOf)/people, work on Saturdays (CapableOf)/people who work during the week, shop weekdays (NotCapableOf)/people who work on Saturdays, shop weekdays (NotCapableOf)/people who work during the week and on Saturdays, shop weekdays (NotCapableOf)/everyone else, shop weekdays (CapableOf)															
e5: For those people the late opening hours, which meanwhile already extend to 12:00 midnight, present a good alternative.				GENERIC/GENERIC	late opening hours, extend to 12:00 midnight (CapableOf)/alternative, good (HasProperty)/late opening hours, alternative (IsA)/people who work during the week, alternative (Desires)/people who work on Saturdays, alternative (Desires)															
e1-e3	not adjacent	sup	1			If shops are not open on Sundays and public holidays, employees and people working in shopping centres have a Sunday off.	GENERIC/GENERIC	shops not being open on Sundays, having a Sunday off (Causes)/shops not being open on public holidays, having a Sunday off (Causes)/employees, have a Sunday off (CapableOf)/people working in shopping centres, have a Sunday off (CapableOf)/shops not being open on Sundays, Sunday off (Causes)/shops not being open on public holidays, Sunday off (Causes)/employees, Sunday off (HasA)/people working in shopping centres, Sunday off (HasA)												
e2-e3	adjacent	sup	2			One should not have to work on holidays.	GENERIC	holidays, work (NotHasPrerequisite)/holidays, work (NotCauses)	Open shops on holidays means that employees have to work.	GENERIC	open shops on holidays, working of employees (HasPrerequisite)/shops, open on holidays (HasProperty)/employees, work on holidays (CapableOf)/employees, shop (AtLocation)/opening shops on holidays, employees have to work (Causes)									
e4-e3	adjacent	reb	1			If shops are not open, you cannot go shopping	GENERIC/GENERIC	shops, not open (HasProperty)/you, go shopping if shops are not open (NotCapableOf)/no open shops, no shopping (Causes)/shopping, no shops open (ObstructedBy)/going shopping, shops being open (HasPrerequisite)												
e5-e3	not adjacent	und	2			Since employees cannot go shopping during the day, they benefit from late opening hours.	GENERIC/GENERIC	employees, going shopping during the day (NotCapableOf)/employees, benefit from late opening hours (CapableOf)/not being able to go shopping during the day, shop during late opening hours (CausesDesire)	If employees can go shopping at late opening hours, shops can remain closed on Sundays and public holidays.	GENERIC/GENERIC	employees, go shopping at late opening hours (CapableOf)/shops, closed on Sundays and public holidays (HasProperty)/employees, shops (AtLocation)/shopping at late opening hours, shops opening on Sundays (NotCausesDesire)/shopping at late opening hours, shops opening on public holidays (NotCausesDesire)/shops, remain closed on Sundays (CapableOf)/shops, remain closed on public holidays (CapableOf)									
e1-e2	adjacent	NONE	2			Sundays are like public holidays.	STATE	Sundays, like public holidays (HasProperty)	Sundays are a paid day off.	GENERIC	Sundays, paid day off (IsA)									
e4-e5	adjacent	NONE	2			People cannot shop while working.	GENERIC	people, shop while working (NotCapableOf)/people, work (CapableOf)/people, shop (CapableOf)/shop, work (ObstructedBy)/shop, not work (HasPrerequisite)/working, not shopping (Causes)	People can only shop during the opening hours of shops.	GENERIC	people, only shop during opening hours of shops (CapableOf)/people, shops (AtLocation)/shops, opening hours (HasA)/shop, have opening hours of shops (HasPrerequisite)									
