TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: The implementation of retirement at 63 is no longer socially sustainable,				STATE	retirement at 63, implemented (ReceivesAction)/implementation of retirement at 63, socially sustainable (NotHasProperty)/retirement at 63, socially sustainable (NotHasProperty)															
e2: as the population in Germany has, viewed demographically, a disproportionate number of old people,				STATE	population, Germany (AtLocation)/old people, Germany (AtLocation)/Germany, demography (HasA)/population in Germany, disproportionate number of old people (HasA)/disproportionate number of old people, population in Germany (PartOf)															
e3: and constantly declining birth rates are being recorded.				GENERALIZING	birth rates, constantly decline (CapableOf)/declining birth rates, recorded (ReceivesAction)															
e4: Admittedly the number of immigrants is constantly rising in Germany,				GENERALIZING	number of immigrants, constantly rise (CapableOf)/immigrants, Germany (AtLocation)/number of immigrants, constantly rising (HasProperty)															
e5: but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.				GENERIC	pension financing, junior employees (HasPrerequisite)/junior employees, well-qualified (HasProperty)/pension financing, no junior employees (ObstructedBy)															
e2-e1	adjacent	sup	2			A disproportionate number of old people means that there is a shortage of labour.	STATE/GENERIC	disproportionate number of old people, shortage of labour (Causes)	Pensions at 63 require labour.	GENERIC	pensions at 63, require labour (CapableOf)/pensions at 63, labour (HasPrerequisite)									
e3-e1	not adjacent	sup	4			With pensions above 63, the labour force disappears.	GENERIC	pensions, above 63 (HasProperty)/pensions above 63, disappearance of labour force (Causes)/labour force, disappear (CapableOf)/labour force, pensions above 63 (ObstructedBy)	Less labour is available when the birth rate declines.	GENERIC/GENERIC	labour, available (NotHasProperty)/less labour, available (HasProperty)/birth rate, decline (CapableOf)/declining birth rate, less labour being available (Causes)	Only workers pay into the pension system.	GENERIC	pension system, paid into (ReceivesAction)/workers, pay into the pension system (CapableOf)	If fewer people pay into the pension system, society is unsustainable.	GENERIC/GENERIC	fewer people, pay into pension system (CapableOf)/society, unsustainable (HasProperty)/fewer people paying into pension system, unsustainability of society (Causes)			
e4-e1	not adjacent	reb	2			Immigration brings more workers.	GENERIC	immigration, bring more workers (CapableOf)/immigration, more workers (Causes)	Pensions at 63 require more workers.	GENERIC	pensions at 63, require more workers (CapableOf)/pensions at 63, requiring of more workers (Causes)/pensions at 63, more workers (HasPrerequisite)									
e5-e1	not adjacent	und	2			With a pension at 63, you need young workers.	GENERIC	pension at 63, need of young workers (Causes)/young workers, needed (HasProperty)/pension at 63, young workers (HasPrerequisite)	Pension financing does not work without junior employees.	GENERIC	pension, financed (ReceivesAction)/junior employees, finance pension (CapableOf)/pension financing, work without junior employees (NotCapableOf)/junior employees, pension financing (UsedFor)/pension financing, junior employees (HasPrerequisite)									
e2-e3	adjacent	NONE	1			Constantly declining birth rates leads to a disproportionate number of old people.	GENERIC	birth rates, constantly declining (HasProperty)/declining birth rates, disproportionate number of old people (Causes)												
e3-e4	adjacent	NONE	3			Declining birth rates mean that fewer babies are born.	GENERIC	fewer babies, born (ReceivesAction)/birth rates, decline (CapableOf)/declining birth rates, fewer babies being born (DefinedAs)/declining birth rates, fewer babies (Causes)	Rising numbers of immigrants mean that more people from abroad come to Germany.	GENERIC/GENERIC	immigrants, Germany (AtLocation)/people from abroad, Germany (AtLocation)/people from abroad, come to Germany (CapableOf)/rising numbers of immigrants, more people from abroad coming to Germany (DefinedAs)/rising numbers of immigrants, more people from abroad (Causes)	Rising numbers of immigrants compensate declining birth rates.	STATE							
e4-e5	adjacent	NONE	3			Immigrants are not necessarily well-qualified junior employees.	GENERIC	immigrants, well-qualified junior employees (NotIsA)/junior employees, well qualified (HasProperty)/immigrants, well-qualified (NotHasProperty)	Immigrants cannot solve Germany's issue of adequate pension financing.	GENERIC	immigrants, Germany (AtLocation)/pension, financed (ReceivesAction)/immigrants, solve Germany's issue of adequate pension financing (NotCapableOf)/immigrants, adequate pension financing (NotCauses)/Germany, issue of adequate pension financing (HasA)/adequate pension financing, issue (IsA)	Germany does not have sufficient, well-qualified junior employees.	STATE	junior employees, well-qualified (HasProperty)/junior employees, Germany (AtLocation)/Germany, sufficient junior employees (NotHasA)/Germany, well-qualified junior employees (NotHasA)						
