TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Health insurance companies should not cover treatments in complementary medicine				GENERIC	health insurane companies, cover treatments (CapableOf)															
e2: unless the promised effect and its medical benefit have been concretely proven.				GENERIC	promised effect, proven (HasProperty)/medical benefit, proven (HasProperty)															
e3: Yet this very proof is lacking in most cases.				GENERALIZING	proof, lacking (HasProperty)															
e4: Patients do often report relief of their complaints after such treatments.				GENERIC	patients, report (CapableOf)/treatments, relief (Causes)/patients, complaints (HasA)/patients, relief (Desires)															
e5: But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty.				GENERIC/GENERIC	funds, spent (ReceivesAction)/spending funds, certainty (HasPrerequisite)															
e2-e1	adjacent	reb	2			It is not always proven whether treatments in complementary medicine have a medical benefit.	GENERIC	treatments, medical benefit (HasA)/treatments in complimentary medicine, medical benefit (NotHasA)/medical benefit, proven (NotHasProperty)	Health insurance companies only pay for treatments with a proven medical benefit.	GENERIC	treatments, medical benefit (HasA)/treatment, medical benefit (Causes)/medical benefit, proven (HasProperty)/health insurance companies, pay for treatments (CapableOf)									
e3-e2	adjacent	reb	0																	
e4-e1	not adjacent	reb	1			Treatments that lead to a relief of complaints should be covered by health insurance companies.	GENERIC/GENERIC	treatments, relief of complaints (Causes)/treatments, covered by health insurance companies (ReceivesAction)/health insurance companies, cover treatments (CapableOf)												
e5-e1	not adjacent	und	1			It is not known with certainty how treatments in complementary medicine work.	GENERIC	treatments, complementary medicine (PartOf)/treatments, work (CapableOf)/treatments in complementary medicine, certain (NotHasProperty)												
e3-e4	adjacent	NONE	1			Being relieved of complaints after a treatment means there is a proof of the effect of the treatment.	GENERIC	treatment, relieve complaints (UsedFor)/treatment, relieve complaints (Causes)/treatment, relieve complaints (CapableOf)/effect, proven (ReceivesAction)/treatment, effect (HasA)/being relieved of complaints, proof of the effect (IsA)/being relieved of complaints, proof of the effect (DefinedAs)												
e4-e5	adjacent	NONE	1			One should know with certainty how a treatment works.	GENERIC	one, know (CapableOf)/treatment, work (CapableOf)												
