TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: The death penalty is a legal means that as such is not practicable in Germany.				STATE/STATE	death penalty, legal means (IsA)/death penalty, practicable in Germany (NotHasProperty)/death penalty, Germany (NotAtLocation)															
e2: For one thing, inviolable human dignity is anchored in our constitution,				STATE	human dignity, inviolable (HasProperty)/inviolable human dignity, constitution (PartOf)/inviolable human dignity, anchored in our constitution (HasProperty)															
e3: and furthermore no one may have the right to adjudicate upon the death of another human being.				GENERIC	no one, adjudicate upon death (CapableOf)															
e4: Even if many people think that a murderer has already decided on the life or death of another person,				ABSTRACT ENTITY, GENERIC	people, think (CapableOf)/murderer, decide on life or death (CapableOf)/murderer, decide on life or death (CapableOf)/be a murderer, decide on life or death (HasPrerequisite)															
e5: this is precisely the crime that we should not repay with the same.				GENERIC/GENERIC	crime, repaid (ReceivesAction)															
e2-e1	adjacent	sup	2			Human dignity implies a right to life.	GENERIC	right to life, human dignity (PartOf)	The death penalty violates the right to life.	GENERIC	death penalty, violate the right to life (UsedFor)/death penalty, violate the right to life (CapableOf)/death penalty, violate the rigth to life (HasSubevent)/life, death penalty (ObstructedBy)									
e3-e1	not adjacent	sup	1			The death penalty is an official decision on the death of another human being.	GENERIC	death penalty, decision (IsA)/death penalty, decision on the death (DefinedAs)/decision, official (HasProperty)/death penalty, death (Causes)												
e4-e1	not adjacent	reb	1			The death penalty is directed against murderers.	GENERIC	murderer, death penalty (ReceivesAction)/murder, death penalty (Causes)/death penalty, directed against murderers (ReceivesAction)												
e5-e1	not adjacent	und	3			Murder is a crime.	GENERIC	murder, crime (IsA)	The death penalty kills a murderer.	GENERIC	murderer, killed (ReceivesAction)/death penalty, kill (CapableOf)/death penalty, kill (UsedFor)	That makes the death penalty a murder and a crime.	GENERALIZING	death penalty, murder (IsA)/death penalty, crime (IsA)						
e2-e3	adjacent	NONE	1			The adjudication upon the death of another human being is against our constitution.	GENERIC	adjudication upon death, against our constitution (HasProperty)/adjudication upon death, constitution (NotPartOf)												
e3-e4	adjacent	NONE	1			Adjudicating upon the death of another human being means to decide on the life or death of another person.	GENERIC	adjudication upon death, decision on  death (IsA)/adjudication upon death, decision on  death (DefinedAs)												
e4-e5	adjacent	NONE	2			Deciding on the life or death of another person is a crime.	GENERIC	deciding on the life or death of another person, crime (IsA)	We should not repay a murderer with the decision on his life or death.	GENERIC	murderer, repaid with the decision on his life (ReceivesAction)									
