TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Peter should close his snack bar as soon as possible.				STATE	Peter, close his snack bar (CapableOf)/Peter, snack bar (HasA)/snack bar, closed (ReceivesAction)															
e2: Pricing pressures are just too high,				GENERIC	pricing pressures, too high (HasProperty)															
e3: and his pool of customers is shrinking constantly.				GENERALIZING	pool of customers, shrink constantly (CapableOf)/pool of customers, shrinking constantly (HasProperty)															
e4: Of course he could do another big ad campaign,				STATE	Peter, do another big ad campaign (CapableOf)															
e5: but that won't do the trick if the whole neighbourhood is going down the drain in the end.				GENERIC/EVENT	neighbourhood, going down the drain (CapableOf)/neighbourhood, going down the drain (HasProperty)/ad campaign, do the trick (NotCapableOf)															
e2-e1	adjacent	sup	1			Under high pricing pressure, small snack bars cannot hold their own and have to close.	GENERIC/GENERIC	pricing pressure, high (HasProperty)/small snack bars, hold their own (NotCapableOf)/high pricing pressure, snack bars cannot hold their own (Causes)/high pricing pressure, snack bars have to close (Causes)/small snack bars, high pricing pressure (ObstructedBy)												
e3-e1	not adjacent	sup	2			Customers lead to income.	GENERIC	customers, income (Causes)	Snack bars have to close if there is no income.	GENERIC	snack bars, close (CapableOf)/snack bars, no income (HasA)/no income, snack bars have to close (Causes)/snack bars, income (HasPrerequisite)/snack bars, no income (ObstructedBy)									
e4-e1	not adjacent	und	3			Big ad campaigns attract customers.	GENERIC	big ad campaigns, customers (Causes)/big ad campaigns, attract customers (CapableOf)	Customers bring incomes.	GENERIC	customers, income (Causes)	Without incomes snack bars must close.	GENERIC	snack bars, close (CapableOf)/snack bars, income (NotHasA)/no incomes, snack bars must close (Causes)						
e5-e1	not adjacent	und	5			If a neighbourhood goes down the drain, the inhabitants have less purchasing power.	GENERIC/GENERIC	neighbourhood, go down the drain (CapableOf)/inhabitants, neighbourhood (PartOf)/neighbourhood going down the drain, inhabitants having less purchasing power (DefinedAs)/inhabitants, purchasing power (NotHasA)/inhabitants, less purchasing power (HasA)/neighbourhood going down the drain, less purchasing power (Causes)/neighbourhood going down the drain, purchasing power (NotCauses)	Inhabitants are customers.	GENERIC	inhabitants, customers (IsA)	Without purchasing power, customers don't go to a snack bar.	GENERIC	customers, no purchasing power (HasA)/no purchasing power, customers don't go to a snack bar (Causes)/going to a snack bar, have purchasing power (HasPrerequisite)/customers, go to a snack bar (NotCapableOf)	Without customers, the snack bar makes no income.	GENERALIZING	customers, income for snack bar (Causes)/snack bar, income (HasA)/snack bar, customers (HasA)/income, customers (HasPrerequisite)/snack bar, make income (NotCapableOf)/income, customers (CreatedBy)/customers, income (Causes)/no customers, no income (Causes)/income, no customers (ObstructedBy)	Without income, the snack bar must close.	STATE	no income, snack bar must close (Causes)/snack bar, close (CapableOf)/snack bar, income (NotHasA)/snack bar, income (NotCapableOf)
e2-e3	adjacent	NONE	1			You need a lot of customers to handle pricing pressures.	GENERIC	handling of pricing pressures, need of a lot of customers (Causes)/handle pricing pressures, customers (HasPrerequisite)/customers, handle pricing pressures (UsedFor)												
e3-e4	adjacent	NONE	1			Big ad campaigns attract customers.	GENERIC	big ad campaigns, customers (Causes)/big ad campaigns, attract customers (CapableOf)												
e4-e5	adjacent	NONE	3			Big ad campaigns want to attract new customers.	GENERIC	big ad campaigns, customers (Causes)/big ad campaigns, attract customers (CapableOf)/big ad campaigns, attract new customers (UsedFor)	Neighbourhoods are potential customers.	GENERIC	neighbourhoods, potential customers (IsA)	When a whole neighbourhood is going down the drain, it is useless to do a big ad campaign.	GENERIC/GENERIC	neighbourhood, go down the drain (CapableOf)/big ad campaign, useless (HasProperty)/neighbourhood going down the drain, big ad campaign being useless (Causes)						
