TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: The choice of an attending physician is at the discretion of the patient.				GENERIC	patient, choice of attending physician (HasA)/physician, chosen by patient (ReceivesAction)															
e2: Yet the funds of the health insurance companies are a common benefit for all premium payers.				GENERIC	health insurance companies, funds (HasA)/funds, benefit (IsA)/premium payers, benefit (HasA)															
e3: They should not be spent on personal preferences without proven use.				GENERIC																
e4: The effectiveness of many natural remedies has not been demonstrated.				GENERIC	natural remedies, effectiveness (HasA)/effectiveness, demonstrated (NotHasProperty)															
e5: Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.				GENERIC	treatments by naturopaths, unproven (HasProperty)/treatments by naturopaths, unrecognized (HasProperty)/insurance companies, reimburse treatments (CapableOf)															
e1-e3	not adjacent	reb	3			Patients can be treated by a naturopath.	GENERIC	patients, treated by naturopath (ReceivesAction)/patients, treated by a naturopath (CapableOf)/naturopath, treat patients (CapableOf)	It is controversial whether treatments by naturopaths have a proven benefit.	GENERIC/GENERIC	naturopaths, treatment (CapableOf)/treatments by naturopaths, proven benefit (HasA)/benefit of treatments of naturopaths, controversial (HasProperty)	The money of the health insurances should only be used for treatments with proven benefits.	GENERIC	money of the health insurance companies, treatments with proven benefits (UsedFor)/health insurances, money (HasA)/money, used for treatments with proven benefits (ReceivesAction)/treatments, proven benefits (HasA)						
e2-e3	adjacent	sup	1			A common fund should not be spent on personal preferences.	GENERIC	common fund, spent on personal preferences (NotCapableOf)/common fund, personal preferences (NotUsedFor)/common fund, spent on personal preferences (NotReceivesAction)												
e3-e5	not adjacent	sup	1			The benefit of treatments in naturopaths has not been proven.	GENERIC	benefit of treatments of naturopaths, proven (NotHasProperty)/treatments, benefit (HasA)												
e4-e5	adjacent	add	1			Health insurance companies do not reimburse treatments if the effect is not proven.	GENERIC/GENERIC	treatments, effect (HasA)/effect, proven (HasProperty)/health insurance companies, reimburse treatments without proven effect (NotCapableOf)												
e1-e2	adjacent	NONE	3			Premium payers pay money into the funds of the health insurance companies.	GENERIC	premium payers, pay money into funds (CapableOf)/health insurance companies, funds (HasA)	The funds of the health insurance companies are used for the treatment of patients.	GENERIC	funds of the health insurance companies, treatment of patients (UsedFor)/health insurance companies, funds (HasA)/patients, treatment (ReceivesAction)/funds, used for the treatment of patients (ReceivesAction)	The choice of an attending physician is the choice of treatment.	GENERIC	choice of physician, choice of treatment (IsA)/physician, treatment (CapableOf)						
e3-e4	adjacent	NONE	2			Many natural remedies have no proven use.	GENERIC	natural remedies, proven use (NotHasA)/natural remedies, proven (NotHasProperty)	Some patients have a personal preference for natural remedies.	GENERIC	patients, prefer natural remedies (CapableOf)/patients, get natural remedies (Desires)/patients, personal preference for natural remedies (HasA)									
