TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Usually you only have eight weeks to complete a bachelor thesis in linguistics degrees.				GENERIC	bachelor thesis, completed in eight weeks (ReceivesAction)/eigth weeks, bachelor thesis in a linguistics degree (UsedFor)															
e2: Adjusting the portion of the total grade upwards anyway would not be commensurate to other study assignments and examinations.				GENERIC	portion of total grade, adjusted upwards (ReceivesAction)/study assignments and examinations, total grade (PartOf)/adjusting the portion of the total grade upwards, commensurate (NotHasProperty)															
e3: Current regulations for the calculation of the total grade should therefore be maintained.				GENERIC	total grade, calculated (ReceivesAction)/current regulations, calculation of the total grade (UsedFor)/current regulations, maintained (ReceivesAction)															
e4: Indeed the preparation of such a scientific work is a fundamental competency that must be acquired in philological degrees.				GENERIC/GENERIC	scientific work, fundamental competency (IsA)/scientific work, prepared (ReceivesAction)/fundamental competency, acquired in philological degrees (ReceivesAction)/scientific work, philological degrees (PartOf)/philological degrees, fundamental competency (Causes)/philological degree, scientific work (HasPrerequisite)															
e5: Throughout the six or seven semesters, however, topics are covered that likewise ought to carry weight.				GENERIC	topics, covered (ReceivesAction)/topics, carry weight (CapableOf)															
e1-e3	not adjacent	sup	1			The bachelor thesis only counts for a fraction of the total grade.	GENERIC	bachelor thesis, total grade (PartOf)/bachelor thesis, fraction of the total grade (IsA)/bachelor thesis, fraction of the total grade (Causes)/bachelor thesis, count for a fraction of the total grade (CapableOf)												
e2-e3	adjacent	add	1			The current regulation for calculating the total grade maintains the ratio of the bachelor thesis to other study assignments and examinations.	STATE	current regulation for calculating total grade, maintain ratio of bachelor thesis to other study assignments and examinations (CapableOf)/bachelor thesis and other assignments and examinations, total grade (PartOf)/current regulation for calculating the total grade, maintain the ratio of the bachelor thesis to other study assignments (UsedFor)/current regulation for calculating the total grade, maintain the ratio of the bachelor thesis to other study examinations (UsedFor)/current regulation, calculating the total grade (UsedFor)												
e4-e3	adjacent	reb	2			The bachelor thesis is a  scientific work.	GENERIC	bachelor thesis, scientific work (IsA)	The bachelor theses should play a big role in the total grade.	GENERIC	bachelor theses, play big role in total grade (CapableOf)/bachelor theses, total grade (PartOf)									
e5-e3	not adjacent	und	1			In the current regulation on the calculation of the total grade, all contents of all semesters are weighted adequately.	GENERIC	total grade, calculated (ReceivesAction)/contents of all semesters, weighted adequately (ReceivesAction)/contents of all semesters, weighted adequately (HasProperty)/current regulation, calculation of the total grade (UsedFor)/contents of all semesters, calculation of the total grade (PartOf)												
e1-e2	adjacent	NONE	3			The bachelor thesis forms a portion of the total grade.	GENERIC	bachelor thesis, total grade (PartOf)/bachelor thesis, portion of the total grade (IsA)/bachelor thesis, portion of the total grade (Causes)/bachelor thesis, form a portion of the total grade (CapableOf)	Eight weeks is only a small portion of the (yearslong) studies.	STATE	eight weeks, yearslong studies (PartOf)/eight weeks, small portion of yearslong studies (IsA)	The bachelor thesis is part of the study's assignments and examinations.	GENERIC	bachelor thesis, study's assignments (PartOf)/bachelor thesis, study's examinations (PartOf)						
e4-e5	adjacent	NONE	2			Philological degrees are achieved after six or seven semesters.	GENERIC	philological degrees, achieved after six semesters (ReceivesAction)/philological degrees, achieves after seven semesters (ReceivesAction)	The bachelor thesis does not cover all the topics of the studies.	GENERIC	bachelor thesis, studies (PartOf)/bachelor thesis, all topics of the studies (NotMadeOf)/all topics of the studies, bachelor thesis (NotPartOf)/bachelor thesis, cover all topics of the studies (NotCapableOf)									
