TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: A bank bailout is very, very costly.				GENERIC	bank bailout, costs (Causes)/bank bailout, costly (HasProperty)															
e2: For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.				GENERIC	taxpayer, stand in for Hypo Real Estate (CapableOf)/taxpayer, stand in for a failed bank (CapableOf)/Hypo Real Estate, failed bank (IsA)/three-figure billion amount, standing in for the failed bank Hypo Real Estate (UsedFor)															
e3: That's why we should not allow any additional bank rescues.				GENERIC	we, allow additional bank rescues (NotCapableOf)/additional bank rescues, allowed (NotReceivesAction)															
e4: The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.				GENERIC/EVENT	politicians, appease people (CapableOf)/tiny amount of all that money, spent (ReceivesAction)/tiny amount of all that money being spent, fact (IsA)/fact, appeasing people (UsedFor)															
e5: But even with that tiny amount you could do a lot of good elsewhere.				GENERIC	you, do a lot of good (CapableOf)/tiny amount, do a lot of good (CapableOf)/tiny amount, do a lot of good (UsedFor)															
e1-e3	not adjacent	sup	0																	
e2-e1	adjacent	exa	2			A failed bank can be bailed out.	GENERIC	failed bank, bailed out (ReceivesAction)	A three-digit billion amount is very, very costly..	STATE	three-digit billion amount, costly (HasProperty)									
e4-e1	not adjacent	reb	3			The money for a bank rescue comes from the taxpayer.	STATE	money for bank rescue, from taxpayer (HasProperty)/money, rescue bank (CapableOf)/bank, money (HasA)/taxpayer, money (HasA)/money of the taxpayer, bank rescue (UsedFor)/bank rescue, money from the taxpayer (CreatedBy)/bank, rescue (ReceivesAction)	The taxpayer does not want too much money to be spent.	GENERIC	money, spent (ReceivesAction)/taxpayer, money (HasA)/tax payer, spend too much money (NotDesires)	The politicians want to appease the taxpayer.	GENERIC	politicians, appease the taxpayer (CapableOf)/politicians, appease the taxpayer (Desires)						
e5-e3	not adjacent	und	1			Only a small part of the money from the taxpayer is spent on bank rescues.	STATE	money from taxpayer, spent on bank rescues (ReceivesAction)/taxpayer, money (HasA)/money from the tax payer, bank rescues (UsedFor)												
e2-e3	adjacent	NONE	2			Failed banks can be rescued.	GENERIC	failed banks, rescued (ReceivesAction)	Taxpayers pay for bank rescues.	GENERIC	taxpayers, pay for bank rescues (CapableOf)									
e3-e4	adjacent	NONE	1			The money for a bank rescue comes from the taxpayer.	STATE	taxpayers, money for a bank rescue (HasA)/taxpayer, bank rescue (Causes)/money of taxpayers, bank rescue (UsedFor)/bank rescue, money (HasPrerequisite)												
e4-e5	adjacent	NONE	1			Money that is spent on bank rescues can not do good elsewhere.	GENERIC/GENERIC	money, spent on bank rescues (ReceivesAction)/money spent on bank rescues, do good elsewhere (NotCapableOf)												
